,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,KR:,,[Karcher],,A,"628,137",99.32%,RU,,,#5,KR:,,Suyong_,,A,"550,310",96.31%,RU,,,#5,NZ:,,Kyujin,,A,"632,988",97.41%,DE,,,#5,NZ:,,Kyujin,,A,"795,256",98.02%,CN,,,#5,PL:,,milosz,,A,"505,017",93.70%,CA,,,#5,NZ:,,Saiyku,,A,"579,278",97.64%,CN,,,#5,AU:,,ASecretBox,,A,"436,932",94.41%,US,,,#5,KR:,,[Karcher],,A,"643,167",95.36%,NO,,,#5,DE:,,Tim Kackner,,A,"567,798",98.78%,NZ,,,#5,RU:,,desuqe,,A,"625,509",97.46%,KR,,,#5,KR:,,[Karcher],,A,"548,696",97.11%,NO,,,#5,AU:,,mrekk,,S,"1,160,883",97.53%,US,,,#5,GB:,,Accolibed,,A,"728,111",97.98%,RU,,,#5,DE:,,aimbotcone,,S,"964,327",93.44%,CL,,,#5,RU:,,gamer228666,,A,"426,576",93.83%,GB,,,#5,NZ:,,Kyujin,NM,A,"866,278",99.23%,DE,,,#5,CN:,,lolol233,HR,S,"917,346",94.84%,NZ,,,#5,GB:,,Bubbleman,NM,A,"753,471",98.28%,RU,,,#5,CL:,,alfiu,NM,A,"556,668",97.53%,DE,,,,,,,,,,,
,,#6,GB:,,Mahmood,,A,"626,880",99.22%,RU,,,#6,RU:,,desuqe,,A,"509,852",97.15%,KR,,,#6,KR:,,Amamya Kokoro,,A,"626,740",99.03%,RU,,,#6,CN:,,lolol233,,A,"673,943",98.45%,NZ,,,#6,PL:,,MALISZEWSKI,,A,"485,966",97.50%,CA,,,#6,KR:,,[Karcher],,A,"534,081",98.70%,RU,,,#6,AU:,,palr,,A,"419,632",97.00%,US,,,#6,CN:,,lolol233,,A,"565,006",97.16%,NZ,,,#6,DE:,,Tim Kackner,,A,"547,080",98.87%,CL,,,#6,DE:,,criller,,A,"562,588",98.96%,CL,,,#6,KR:,,Amamya Kokoro,,A,"527,897",96.94%,RU,,,#6,NZ:,,Saiyku,,S,"1,158,758",97.24%,DE,,,#6,PL:,,szedis,,A,"715,151",95.98%,CA,,,#6,NZ:,,HaSappy,,A,"951,045",94.19%,CN,,,#6,RU:,,desuqe,,A,"360,722",93.31%,GB,,,#6,US:,,decaten,HR,A,"719,671",97.98%,AU,,,#6,CN:,,pr1mary,NM,S,"859,299",95.76%,NZ,,,#6,AU:,,ASecretBox,HR,A,"732,754",97.70%,US,,,#6,DE:,,criller,NM,A,"496,711",98.00%,NZ,,,,,,,,,,,
,,#7,RU:,,Welter,,A,"603,041",98.76%,KR,,,#7,RU:,,Lexu2S,,A,"484,406",96.83%,KR,,,#7,CL:,,Intercambing,,A,"608,896",98.65%,DE,,,#7,PL:,,evil grape,,A,"666,104",96.82%,CA,,,#7,KR:,,Amamya Kokoro,,A,"447,025",95.81%,NO,,,#7,PL:,,gnahus,,A,"523,878",97.74%,CA,,,#7,AU:,,Xaver,,A,"376,235",95.56%,US,,,#7,GB:,,fudge,,A,"555,748",96.34%,RU,,,#7,CL:,,Intercambing,,A,"543,518",99.56%,DE,,,#7,CN:,,lolol233,,A,"553,973",98.64%,NZ,,,#7,NO:,,papercandle,,A,"497,406",95.39%,KR,,,#7,DE:,,criller,,A,"1,046,436",97.04%,CL,,,#7,US:,,Pezz,,A,"706,811",94.87%,AU,,,#7,CN:,,Ledeau_Fox,,B,"917,116",93.22%,NZ,,,#7,GB:,,Mahmood,,B,"295,338",90.69%,RU,,,#7,US:,,tekkito,HD,A,"703,502",99.23%,AU,,,#7,NZ:,,HaSappy,NM,A,"776,149",92.60%,CN,,,#7,AU:,,mrekk,HDHR,A,"724,432",97.81%,US,,,#7,NZ:,,5aiyku,NM,A,"451,017",98.41%,DE,,,,,,,,,,,
,,#8,DE:,,Fleh,,A,"580,265",98.79%,CL,,,#8,KR:,,Allegrissimo,,A,"345,570",95.93%,RU,,,#8,US:,,EthantrixV3,,S,"598,834",95.96%,AU,,,#8,CA:,,yip,,S,"648,853",98.73%,PL,,,#8,CA:,,yip,,A,"431,641",94.88%,PL,,,#8,RU:,,Welter,,A,"522,144",98.89%,GB,,,#8,US:,,tekkito,,A,"359,735",96.92%,AU,,,#8,RU:,,Lexu2S,,A,"525,657",95.76%,GB,,,#8,CA:,,nujabes,,A,"541,810",98.79%,PL,,,#8,DE:,,Denzel Curry,,A,"520,202",98.18%,NZ,,,#8,NZ:,,Saiyku,,A,"488,750",96.70%,DE,,,#8,RU:,,Lexu2S,,A,"1,045,123",97.79%,GB,,,#8,RU:,,maxim,,A,"657,818",97.78%,GB,,,#8,NO:,,Pinguinzi,,B,"909,091",92.86%,KR,,,#8,GB:,,MALTESER,,A,"263,695",93.52%,RU,,,#8,RU:,,desuqe,HD,A,"631,360",98.75%,GB,,,#8,NZ:,,HaSappy,NM,A,"775,683",92.45%,DE,,,#8,US:,,decaten,HR,A,"598,935",98.45%,AU,,,#8,NZ:,,Saiyku,HR,A,"437,088",96.26%,DE,,,,,,,,,,,
,,#9,DE:,,Denzel Curry,,A,"540,394",99.10%,CL,,,,,,,,,,,,,,#9,AU:,,ASecretBox,,A,"587,120",97.78%,US,,,#9,DE:,,criller,,A,"637,858",98.88%,CL,,,#9,KR:,,Allegrissimo,,A,"394,244",94.81%,NO,,,#9,KR:,,[Karcher],,A,"518,523",98.72%,NO,,,,,,,,,,,,,,#9,NO:,,antonyw,,A,"522,335",94.87%,KR,,,#9,NZ:,,ozbert,,A,"520,520",97.88%,DE,,,#9,RU:,,Welter,,A,"512,985",98.43%,KR,,,#9,DE:,,criller,,A,"463,733",96.38%,NZ,,,#9,NZ:,,Kyujin,,S,"1,043,764",98.75%,DE,,,#9,PL:,,Rafis,,A,"653,946",97.10%,CA,,,#9,DE:,,Denzel Curry,,S,"818,956",96.74%,CL,,,,,,,,,,,,,,#9,AU:,,mrekk,NM,A,"596,838",98.87%,US,,,#9,NZ:,,Saiyku,HR,A,"738,249",96.02%,CN,,,#9,AU:,,cloppit,HR,A,"510,573",97.87%,US,,,#9,NZ:,,Kyujin,NM,A,"418,145",95.96%,DE,,,,,,,,,,,
,,#10,DE:,,Denzel Curry,,A,"534,282",99.13%,NZ,,,,,,,,,,,,,,#10,US:,,rektygon,,A,"572,385",97.16%,AU,,,#10,CL:,,alfiu,,S,"619,750",98.78%,DE,,,#10,CA:,,steamhappy,,A,"364,891",97.01%,PL,,,#10,KR:,,Nopekjk,,A,"499,281",96.91%,NO,,,,,,,,,,,,,,#10,KR:,,LATAJACYTUNCZYK,,A,"506,209",96.13%,NO,,,#10,DE:,,Denzel Curry,,A,"510,358",99.08%,CL,,,#10,DE:,,criller,,A,"496,364",98.48%,NZ,,,#10,KR:,,LATAJACYTUNCZYK,,A,"449,779",97.42%,NO,,,#10,GB:,,Accolibed,,A,"1,011,231",97.27%,RU,,,#10,PL:,,MALISZEWSKI,,B,"617,244",92.63%,CA,,,#10,NO:,,papercandle,,A,"694,382",95.46%,KR,,,,,,,,,,,,,,#10,CN:,,lolol233,HR,A,"560,099",98.93%,NZ,,,#10,DE:,,aimbotcone,HR,A,"682,605",98.67%,NZ,,,#10,CA:,,xootynator,HDHR,A,"505,534",96.89%,PL,,,#10,DE:,,ZeitFrost,HR,A,"383,376",94.19%,NZ,,,,,,,,,,,
,,#11,KR:,,Amamya Kokoro,,A,"528,180",99.39%,RU,,,,,,,,,,,,,,#11,NZ:,,Kyujin,,A,"558,125",97.83%,CN,,,#11,CN:,,Crystal,,A,"611,999",98.39%,NZ,,,#11,KR:,,Nopekjk,,A,"357,562",95.66%,NO,,,#11,CN:,,lolol233,,A,"478,997",98.84%,NZ,,,,,,,,,,,,,,#11,NZ:,,5aiyku,,A,"460,262",94.99%,CN,,,#11,PL:,,MALISZEWSKI,,A,"503,108",98.79%,CA,,,#11,NZ:,,Kyujin,,A,"493,250",98.23%,DE,,,#11,KR:,,[Karcher],,A,"443,499",96.77%,RU,,,#11,US:,,rektygon,,A,"976,449",98.86%,AU,,,#11,AU:,,aknzx,,S,"617,016",95.95%,US,,,#11,CL:,,Gonzah,,A,"666,220",97.11%,DE,,,,,,,,,,,,,,#11,US:,,rektygon,HR,A,"551,702",98.77%,AU,,,#11,NZ:,,ozbert,HD,A,"637,503",93.58%,DE,,,#11,RU:,,Skrowell,NM,A,"490,044",98.17%,GB,,,#11,DE:,,okinamo,HD,A,"363,124",97.12%,CL,,,,,,,,,,,
,,#12,DE:,,criller,,A,"520,346",99.04%,CL,,,,,,,,,,,,,,#12,CL:,,alfiu,,A,"547,093",96.60%,DE,,,#12,DE:,,Denzel Curry,,A,"598,515",98.06%,NZ,,,#12,CA:,,Wanderio,,A,"356,826",95.54%,PL,,,#12,NZ:,,Kyujin,,A,"465,874",97.70%,CN,,,,,,,,,,,,,,#12,GB:,,Plasma,,B,"448,052",92.65%,RU,,,#12,PL:,,Kosiarek,,A,"494,900",97.98%,CA,,,#12,NO:,,NINERIK,,A,"485,844",99.09%,KR,,,#12,NO:,,NINERIK,,A,"438,333",97.52%,KR,,,#12,US:,,Pezz,,A,"974,409",98.79%,AU,,,#12,PL:,,milosz,,S,"616,879",96.77%,CA,,,#12,CN:,,lolol233,,A,"648,999",93.85%,NZ,,,,,,,,,,,,,,#12,NZ:,,ozbert,HD,A,"542,818",97.99%,CN,,,#12,DE:,,Fleh,NM,A,"621,120",92.10%,NZ,,,#12,PL:,,gnahus,HDHR,A,"475,464",96.23%,CA,,,#12,CL:,,Hanayume,HR,A,"352,381",95.87%,DE,,,,,,,,,,,
,,#13,GB:,,Bubbleman,,A,"506,645",98.65%,RU,,,,,,,,,,,,,,#13,RU:,,desuqe,,A,"538,382",95.86%,GB,,,#13,NZ:,,Kyujin,,A,"589,146",98.42%,DE,,,#13,NO:,,Melvr,,B,"348,754",92.51%,KR,,,#13,KR:,,Amamya Kokoro,,A,"464,238",99.22%,RU,,,,,,,,,,,,,,#13,NZ:,,Kyujin,, S ,"438,578",95.22%,CN,,,#13,PL:,,milosz,,A,"491,989",99.21%,CA,,,#13,KR:,,MYKEYBOARD,,A,"480,414",97.16%,RU,,,#13,KR:,,Allegrissimo,,A,"433,093",95.59%,RU,,,#13,DE:,,criller,,A,"933,722",98.99%,NZ,,,#13,US:,,WindowLife,,A,"581,875",98.15%,AU,,,#13,NZ:,,ozbert,,S,"627,505",94.22%,CN,,,,,,,,,,,,,,#13,DE:,,Denzel Curry,NM,A,"540,474",99.09%,NZ,,,#13,CN:,,Ledeau_Fox,HD,B,"473,004",88.96%,NZ,,,#13,GB:,,Plasma,HD,A,"475,422",96.69%,RU,,,#13,CL:,,NO37,HD,A,"342,824",95.33%,DE,,,,,,,,,,,
,,#14,CL:,,alfiu,,A,"501,756",99.51%,DE,,,,,,,,,,,,,,#14,AU:,,aknzx,,A,"531,211",97.08%,US,,,#14,CA:,,Zylice,,A,"583,932",96.86%,PL,,,#14,CA:,,Zylice,,A,"292,374",93.49%,PL,,,#14,CN:,,Ledeau_Fox,,A,"445,268",96.84%,NZ,,,,,,,,,,,,,,#14,CN:,,Crystal,,A,"429,105",94.91%,NZ,,,#14,NZ:,,Saiyku,,A,"483,209",99.33%,DE,,,#14,KR:,,Amamya Kokoro,,A,"478,339",98.14%,NO,,,#14,NZ:,,Kyujin,,A,"409,105",94.11%,DE,,,#14,AU:,,ASecretBox,,A,"927,733",97.89%,US,,,#14,CA:,,Zylice,,A,"568,069",97.29%,PL,,,#14,DE:,,criller,,A,"618,320",94.02%,CL,,,,,,,,,,,,,,#14,NZ:,,Saiyku,HR,A,"539,984",98.52%,CN,,,#14,CN:,,z980838928,NM,C,"359,819",84.85%,NZ,,,#14,PL:,,evil grape,HD,A,"475,220",95.96%,CA,,,#14,DE:,,ZeitFrost,NM,A,"338,350",95.63%,CL,,,,,,,,,,,
,,#15,RU:,,Lexu2S,,A,"493,765",99.03%,KR,,,,,,,,,,,,,,#15,DE:,,criller,,A,"529,504",98.55%,CL,,,#15,CN:,,lolol235,,A,"583,903",98.02%,NZ,,,#15,NO:,,YokesPai,,B,"269,899",90.96%,KR,,,#15,KR:,,Nopekjk,,A,"439,005",98.27%,RU,,,,,,,,,,,,,,#15,RU:,,BJIADOC,,A,"425,910",94.99%,GB,,,#15,NZ:,,Kyujin,,A,"464,501",97.89%,DE,,,#15,DE:,,Denzel Curry,,A,"470,607",97.55%,CL,,,#15,DE:,,Denzel Curry,,A,"378,425",95.71%,NZ,,,#15,DE:,,Fleh,,A,"912,298",97.97%,NZ,,,#15,RU:,,Hober38,,B,"497,726",90.94%,GB,,,#15,NZ:,,Kyujin,,A,"591,084",93.29%,CN,,,,,,,,,,,,,,#15,GB:,,fudge,NM,A,"535,924",98.48%,RU,,,#15,DE:,,Denzel Curry,NM,B,"356,329",90.49%,NZ,,,#15,PL:,,milosz,HR,A,"463,537",97.16%,CA,,,#15,DE:,,Denzel Curry,NM,A,"329,284",96.09%,NZ,,,,,,,,,,,
,,#16,NZ:,,5aiyku,,A,"491,057",99.24%,DE,,,,,,,,,,,,,,#16,US:,,decaten,,A,"524,680",98.53%,AU,,,#16,DE:,,ZeitFrost,,A,"470,119",96.78%,CL,,,#16,NO:,,FRODO,,A,"231,292",92.78%,KR,,,#16,RU:,,BJIADOC,,A,"431,595",98.20%,GB,,,,,,,,,,,,,,#16,CN:,,Ledeau_Fox,,A,"403,163",95.36%,NZ,,,#16,CL:,,siiphs,,A,"463,590",98.91%,DE,,,#16,CL:,,Hanayume,,A,"458,180",97.28%,DE,,,#16,RU:,,Welter,,A,"375,786",96.55%,KR,,,#16,NO:,,NINERIK,,A,"908,601",98.89%,KR,,,#16,CA:,,SparklyFairy200,,A,"480,501",94.28%,PL,,,#16,KR:,,[Karcher],,A,"589,410",96.45%,NO,,,,,,,,,,,,,,#16,DE:,,criller,NM,A,"524,480",99.35%,NZ,,,#16,NZ:,,ozbert,HD,B,"288,541",91.02%,CN,,,#16,RU:,,desuqe,HD,A,"444,325",96.45%,GB,,,#16,DE:,,Tim Kackner,HR,B,"246,358",90.87%,CL,,,,,,,,,,,
,,#17,CL:,,siiphs,,A,"488,806",97.61%,DE,,,,,,,,,,,,,,#17,RU:,,desuqe,,A,"517,039",96.69%,KR,,,#17,NZ:,,5aiyku,,A,"457,831",97.54%,DE,,,,,,,,,,,,,,#17,GB:,,Plasma,,A,"426,933",97.87%,RU,,,,,,,,,,,,,,#17,GB:,,lystia,,A,"402,885",93.19%,RU,,,#17,PL:,,gnahus,,A,"442,010",98.73%,CA,,,#17,NO:,,Melvr,,A,"458,064",98.23%,KR,,,#17,KR:,,Chipori,,A,"348,105",94.81%,NO,,,#17,KR:,,LATAJACYTUNCZYK,,A,"871,645",98.05%,NO,,,#17,AU:,,SUPERI0R,,A,"475,993",96.92%,US,,,#17,DE:,,Fleh,,B,"512,302",91.98%,CL,,,,,,,,,,,,,,#17,NZ:,,5aiyku,NM,A,"515,333",98.89%,DE,,,,,,,,,,,,,,#17,US:,,Pezz,NM,A,"435,744",98.73%,AU,,,,,,,,,,,,,,,,,,,,,,
