,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,BR:,,Coreanmaluco,,S,"991,901",99.76%,PH,,,#5,TW:,,willy0214,,S,"1,007,759",99.94%,DK,,,#5,KZ:,,Ternafis,,S,"985,048",99.61%,PT,,,#5,FI:,,AllyrD,,S,"962,932",99.00%,RO,,,#5,HK:,,F2X,,S,"978,736",99.40%,GR,,,#5,HK:,,misha awa,, S ,"1,044,225",99.57%,GR,,,#5,PH:,,NathanRam1918,, S ,"1,036,425",99.39%,NL,,,#5,BR:,,Nyash,,S,"1,063,188",98.99%,NL,,,#5,ID:,,Thatnoobguy,,S,"1,040,606",98.43%,RO,,,#5,DK:,,Sobu-,,S,"1,213,754",99.80%,MY,,,#5,NO:,,papercandle,,S,"1,174,300",99.43%,CN,,,#5,UY:,,helvetia,,S,"1,193,354",99.74%,TR,,,#5,HK:,,misha awa,HD, S ,"1,039,650",99.44%,JP,,,#5,NZ:,,Saiyku,HR,S,"1,070,677",99.17%,RO,,,#5,BR:,,Coreanmaluco,NM,S,"998,350",99.89%,PH,,,#5,ES:,,A L E P H,NM,A,"682,729",99.73%,CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#6,NO:,,papercandle,,S,"985,844",99.57%,TH,,,#6,NO:,,NINERIK,,S,"1,006,205",99.94%,CN,,,#6,RO:,,badeu,,S,"984,695",99.59%,ID,,,#6,CN:,,lolol235,,S,"962,391",99.09%,TH,,,#6,FR:,,Musty,,S,"977,355",99.42%,IT,,,#6,SG:,,hollowknees,, S ,"1,036,713",99.32%,HK,,,#6,GR:,,JackPaX,, S ,"1,030,134",99.22%,HK,,,#6,NL:,,perthed again,,S,"1,062,549",99.04%,BR,,,#6,PT:,,RafaMat,,S,"1,039,741",98.34%,KZ,,,#6,NO:,,NINERIK,,S,"1,213,582",99.80%,TH,,,#6,FR:,,JapWhite,,S,"1,172,453",99.38%,IT,,,#6,TW:,,willy0214,,S,"1,190,816",99.65%,MY,,,#6,PE:,,[MG]Arnold24x24,HD, S ,"1,035,511",99.33%,PT,,,#6,NZ:,,Saiyku,HR,S,"1,066,945",99.16%,FI,,,#6,PH:,,NathanRam1918,NM,S,"998,311",99.89%,BR,,,#6,ES:,,ESCRUPULILLO,NM,A,"662,301",99.44%,CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#7,ID:,,lifeline,,S,"954,849",98.66%,NZ,,,#7,ID:,,MineFrostID,,S,"1,005,781",99.94%,FI,,,#7,KZ:,,Ternafis,,S,"979,059",99.41%,PE,,,#7,SE:,,scylla,,S,"959,220",98.91%,PH,,,#7,GR:,,Nekkid,,S,"977,221",99.42%,SG,,,#7,VN:,,def,, S ,"1,034,705",99.32%,DK,,,#7,KZ:,,Kamensh1k,, S ,"1,022,105",99.02%,PE,,,#7,BR:,,shwq,,S,"1,050,774",98.68%,NL,,,#7,BR:,,Coreanmaluco,,S,"1,035,667",98.34%,NL,,,#7,HK:,,misha awa,,S,"1,211,220",99.60%,JP,,,#7,AR:,,Tofy,,S,"1,171,085",99.32%,TR,,,#7,PE:,,[MG]Arnold24x24,,S,"1,189,369",99.65%,UA,,,#7,FR:,,fiaee,HD, S ,"1,035,368",99.33%,CL,,,#7,RO:,,etn,HR,S,"1,061,898",99.10%,NZ,,,#7,PH:,,Icarussy,NM,S,"993,639",99.74%,BR,,,#7,AR:,,jackzebra,NM,A,"652,983",99.71%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#8,BR:,,-izzy,,A,"911,570",99.61%,PH,,,#8,TH:,,-Kedama,,S,"1,004,434",99.88%,AT,,,#8,TW:,,willy0214,,S,"976,465",99.35%,MY,,,#8,PH:,,NathanRam1918,,S,"958,672",98.91%,SE,,,#8,AT:,,fedoragoose,,S,"973,071",99.32%,NO,,,#8,PT:,,RafaMat,, S ,"1,034,165",99.32%,UA,,,#8,ES:,,marbl,, S ,"1,020,864",98.96%,CL,,,#8,FR:,,Hifkil,,S,"1,049,571",98.79%,CL,,,#8,BR:,,Coreanmaluco,,S,"1,033,982",98.17%,PH,,,#8,NO:,,papercandle,,S,"1,208,956",99.60%,CN,,,#8,TR:,,Raikouhou,,S,"1,167,883",99.34%,AR,,,#8,AT:,,z9a,,S,"1,187,137",99.56%,TH,,,#8,PE:,,[MG]Arnold24x24,HD,A,"1,025,709",99.16%,UA,,,#8,CN:,,lolol235,HD, SS ,"1,060,530",100.00%,TH,,,#8,NZ:,,Kyujin,NM,S,"990,937",99.68%,FI,,,#8,GR:,,Nekkid,HD,A,"628,780",99.46%,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#9,DK:,,iamVill,,A,"865,916",98.45%,VN,,,#9,TR:,,Raikouhou,,S,"1,002,327",99.82%,UY,,,#9,ES:,,marbl,,S,"975,871",99.35%,IT,,,#9,CN:,,lolol235,,S,"958,608",98.91%,NO,,,#9,NO:,,NINERIK,,S,"972,975",99.32%,AT,,,#9,KZ:,,shiyumi,, S ,"1,033,428",99.32%,PE,,,#9,TR:,,Shinkiro,, S ,"1,004,024",98.52%,AR,,,#9,NZ:,,Saiyku,,S,"1,049,571",98.62%,ID,,,#9,PT:,,uatzap,,S,"1,033,940",98.26%,KZ,,,#9,NL:,,John breathe,,S,"1,208,651",99.67%,BR,,,#9,TR:,,Raikouhou,,S,"1,164,594",99.24%,UY,,,#9,HK:,,misha awa,,S,"1,187,052",99.56%,GR,,,#9,JP:,,shouponpon,HR,S,"1,018,333",97.87%,HK,,,#9,BR:,,Nyash,HR,S,"1,053,252",98.69%,SE,,,#9,AR:,,viciobylike,NM,S,"988,547",99.63%,BE,,,#9,HK:,,F2X,NM,A,"611,801",99.63%,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#10,AT:,,Akuma no Tenshi,,A,"802,240",99.33%,TH,,,#10,RO:,,origin_,,S,"1,001,471",99.88%,ID,,,#10,RO:,,badeu,,S,"971,471",99.30%,NZ,,,#10,RO:,,badeu,,S,"957,937",98.91%,FI,,,#10,HK:,,misha awa,,S,"972,301",99.32%,JP,,,#10,PE:,,[MG]Arnold24x24,, S ,"1,029,313",99.15%,KZ,,,#10,BR:,,-izzy,, S ,"989,440",98.09%,SE,,,#10,BR:,,-izzy,,S,"1,046,974",98.55%,NL,,,#10,JP:,,shouponpon,,S,"1,032,126",98.26%,SG,,,#10,MY:,,Harumi Ena,,S,"1,208,067",99.73%,DK,,,#10,FI:,,Amasetic,,S,"1,163,409",99.14%,NZ,,,#10,UY:,,Melxdy,,S,"1,185,952",99.47%,BE,,,#10,SE:,,scylla,HD, S ,"1,011,517",98.65%,BR,,,#10,BR:,,-izzy,HD, S ,"1,050,721",99.72%,NL,,,#10,ES:,,A L E P H,HD,A,"913,510",99.74%,IT,,,#10,BE:,,hexi,NM,A,"609,534",99.78%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#11,TH:,,Lesperry,,A,"801,074",99.10%,CN,,,#11,TW:,,Rizer,,S,"1,001,405",99.88%,DK,,,#11,ES:,,marbl,,S,"971,093",99.21%,FR,,,#11,PH:,,ZaNy_,,S,"957,399",98.81%,NL,,,#11,NL:,,John ethken,,S,"969,093",99.23%,SE,,,#11,BR:,,kagiura,, S ,"1,028,022",99.06%,NL,,,#11,TW:,,Ruyaya,, S ,"989,030",98.09%,VN,,,#11,SG:,,Mekeyo,,S,"1,045,993",98.60%,JP,,,#11,SE:,,scylla,,S,"1,031,559",98.26%,BR,,,#11,NO:,,papercandle,,S,"1,206,355",99.54%,TH,,,#11,PE:,,[MG]Arnold24x24,,S,"1,159,254",99.11%,PT,,,#11,AT:,,Akuma no Tenshi,,S,"1,185,298",99.47%,CN,,,#11,NZ:,,Kyujin,HD, S ,"993,662",98.20%,FI,,,#11,BR:,,-izzy,HD, S ,"1,046,313",99.64%,PH,,,#11,FR:,,FlasTEH,HD,A,"899,412",99.45%,CL,,,#11,AR:,,Bomilk,NM,A,"591,261",99.43%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#12,CN:,,lolol233,,A,"782,259",99.33%,TH,,,#12,HK:,,misha awa,,S,"1,001,257",99.82%,GR,,,#12,PH:,,ZaNy_,,S,"969,459",99.15%,SE,,,#12,CN:,,lolol233,,S,"948,880",98.63%,AT,,,#12,AR:,,Bomilk,,S,"968,098",99.23%,BE,,,#12,TH:,,-Kedama,, S ,"1,023,374",99.06%,CN,,,#12,NO:,,YokesPai,, S ,"986,604",98.00%,AT,,,#12,ID:,,MineFrostID,,S,"1,037,965",98.35%,NZ,,,#12,MY:,,n0 head,,S,"1,027,272",98.06%,TW,,,#12,TH:,,-Kedama,,S,"1,205,739",99.60%,NO,,,#12,CL:,,Gonzah,,S,"1,157,216",99.00%,IT,,,#12,CL:,,Intercambing,,S,"1,185,070",99.47%,ES,,,#12,FR:,,calangi,NM,S,"986,694",99.55%,CL,,,#12,JP:,,Furamun,HD, S ,"1,044,477",99.59%,HK,,,#12,CL:,,Intercambing,NM,S,"891,628",99.88%,IT,,,#12,HK:,,misha awa,HD,A,"563,094",99.62%,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#13,TH:,,Arz3,,A,"772,431",99.41%,NO,,,#13,FI:,,Amasetic,,S,"1,000,560",99.82%,NZ,,,#13,KZ:,,shiyumi,,S,"963,880",99.00%,PE,,,#13,NZ:,,Kyujin,,S,"946,419",98.45%,RO,,,#13,RO:,,etn,,S,"964,161",99.13%,ID,,,#13,RO:,,badeu,, S ,"1,023,338",98.98%,NZ,,,#13,TH:,,chests,, S ,"938,394",96.52%,AT,,,#13,FR:,,Hifkil,,S,"1,033,691",98.30%,IT,,,#13,CN:,,lolol235,,S,"1,026,629",98.00%,AT,,,#13,HK:,,F2X,,S,"1,204,563",99.47%,SG,,,#13,SE:,,trumpatino69,,S,"1,153,374",98.96%,BR,,,#13,PE:,,[MG]Arnold24x24,,S,"1,183,573",99.47%,PT,,,#13,AT:,,fedoragoose,NM,S,"978,714",99.33%,CN,,,#13,UY:,,Rebo,HD, S ,"1,044,364",99.59%,TR,,,#13,IT:,,kusuriya,HR,A,"884,193",98.60%,ES,,,#13,SG:,,Dawnwing,NM,A,"553,439",99.01%,HK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#14,PH:,,NathanRam1918,,A,"759,853",98.69%,BR,,,#14,NO:,,NINERIK,,S,"999,523",99.82%,AT,,,#14,GR:,,JackPaX,,S,"962,610",99.02%,JP,,,#14,PH:,,NathanRam1918,,S,"945,658",98.54%,BR,,,#14,AT:,,z10a,,S,"950,982",98.65%,CN,,,#14,TW:,,Flyer,, S ,"1,021,729",99.13%,DK,,,#14,GR:,,-Puyu,, S ,"874,457",98.59%,HK,,,#14,BR:,,Coreanmaluco,,A,"1,031,236",98.21%,NL,,,#14,NO:,,NINERIK,,S,"1,025,386",98.08%,TH,,,#14,HK:,,F2X,,A,"1,202,979",99.64%,JP,,,#14,UY:,,PLOXARU,,S,"1,151,576",98.85%,AR,,,#14,ID:,,lifeline,,S,"1,182,380",99.47%,RO,,,#14,FR:,,Satsukiiii,NM,S,"978,266",99.41%,CL,,,#14,ES:,,A L E P H,HD, S ,"1,043,226",99.59%,CL,,,#14,FR:,,Musty,HD,A,"874,401",99.68%,ES,,,#14,UY:,,Rebo,NM,A,"546,690",99.57%,AR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#15,NZ:,,5aiyku,,A,"759,209",99.76%,ID,,,#15,BE:,,hexi,,S,"998,936",99.76%,TR,,,#15,CL:,,alfiu,,S,"961,640",98.89%,IT,,,#15,CN:,,lolol235,,S,"944,522",98.54%,AT,,,#15,NO:,,YokesPai,,S,"949,371",98.55%,AT,,,#15,PE:,,[MG]Arnold24x24,, S ,"1,020,799",98.98%,PT,,,#15,ID:,,Hakui Koyori,,A,"787,643",97.52%,FI,,,#15,NZ:,,5aiyku,,A,"1,017,832",98.92%,RO,,,#15,NO:,,NINERIK,,S,"1,022,687",97.97%,CN,,,#15,AR:,,jackzebra,,S,"1,200,498",99.40%,UY,,,#15,NZ:,,Kyujin,,S,"1,147,289",98.80%,FI,,,#15,AT:,,Akuma no Tenshi,,S,"1,180,116",99.39%,TH,,,#15,FI:,,Isak-,NM,S,"973,811",99.21%,RO,,,#15,TH:,,-Kedama,HD, S ,"1,042,038",99.52%,CN,,,#15,FR:,,Musty,NM,S,"847,105",99.88%,CL,,,#15,HK:,,F2X,NM,A,"528,222",99.43%,GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#16,CN:,,Ledeau_Fox,,S,"755,516",99.56%,TH,,,#16,BE:,,hexi,,S,"998,770",99.76%,UY,,,#16,NO:,,antonyw,,S,"960,684",99.02%,CN,,,#16,PH:,,NathanRam1918,,S,"943,829",98.52%,NL,,,#16,BE:,,Mornis,,S,"945,920",98.55%,AR,,,#16,KZ:,,Kamensh1k,, S ,"1,019,810",98.98%,PT,,,#16,ID:,,FAW,,A,"758,484",98.61%,FI,,,#16,TH:,,Lesperry,,S,"1,010,593",97.47%,CN,,,#16,HK:,,misha awa,,S,"1,020,592",97.82%,JP,,,#16,VN:,,def,,S,"1,198,020",99.54%,MY,,,#16,TW:,,Rizer,,S,"1,141,575",98.70%,DK,,,#16,CL:,,xXChokgamerXx,,S,"1,178,442",99.39%,FR,,,#16,GR:,,-Puyu,NM,S,"969,329",99.10%,HK,,,#16,NZ:,,5aiyku,HD, S ,"1,039,641",99.52%,FI,,,#16,IT:,,Toukai Teiou,NM,A,"844,699",99.84%,CL,,,#16,BE:,,Mornis,NM,A,"517,406",99.61%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#17,UY:,,PLOXARU,,A,"730,396",99.83%,TR,,,#17,NZ:,,Kyujin,,S,"997,420",99.69%,RO,,,#17,SE:,,scylla,,S,"956,767",98.79%,PH,,,#17,TR:,,Raikouhou,,S,"941,449",98.36%,AR,,,#17,JP:,,YMD,,S,"945,323",98.65%,HK,,,#17,UA:,,dench,, S ,"1,018,014",98.78%,PT,,,#17,NL:,,G e n g a o z o,,A,"748,574",98.06%,PH,,,#17,VN:,,baoo,,S,"1,010,191",97.55%,TW,,,#17,RO:,,AlexBelea,,S,"1,009,452",97.73%,ID,,,#17,UY:,,Melxdy,,S,"1,196,130",99.27%,BE,,,#17,UY:,,helvetia,,S,"1,137,984",98.59%,TR,,,#17,HK:,,misha awa,,S,"1,178,304",99.39%,SG,,,#17,NZ:,,ozbert,HDHR, S ,"967,151",94.53%,RO,,,#17,HK:,,F2X,HR,S,"1,038,364",98.28%,GR,,,#17,AR:,,Bomilk,NM,A,"834,254",99.63%,BE,,,#17,AR:,,Seiong,NM,A,"509,779",99.33%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#18,NO:,,NINERIK,,S,"728,953",99.92%,TH,,,#18,RO:,,etn,,S,"997,259",99.69%,ID,,,#18,NZ:,,5aiyku,,S,"951,937",98.74%,ID,,,#18,SE:,,scylla,,S,"941,206",98.47%,NL,,,#18,PH:,,perhap,,S,"942,185",98.45%,SE,,,#18,UA:,,POMAH,, S ,"1,016,936",98.89%,PE,,,#18,FR:,,fiaee,,A,"747,500",98.39%,ES,,,#18,CL:,,siiphs,,S,"998,243",99.23%,FR,,,#18,SE:,,Andros,,S,"1,009,290",97.56%,NL,,,#18,NL:,,perthed again,,S,"1,194,076",99.54%,BR,,,#18,AR:,,Tofy,,S,"1,136,923",98.54%,UY,,,#18,AT:,,fedoragoose,,S,"1,177,939",99.30%,TH,,,#18,BR:,,-izzy,NM,S,"965,567",98.99%,NL,,,#18,SG:,,qstronaut,HD,A,"1,034,579",99.83%,HK,,,#18,FR:,,Geordie Greep,NM,A,"799,058",99.45%,ES,,,#18,BE:,,Hanori,NM,A,"508,739",99.45%,UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
