,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,KR:,,MYKEYBOARD,,A,"377,859",98.13%,CA,,,#5,DE:,,yary,,A,"421,762",95.19%,AU,,,#5,CA:,,Zylice,,A,"423,175",96.81%,KR,,,#5,PL:,,MALISZEWSKI,,A,"515,419",98.54%,US,,,#5,KR:,,LATAJACYTUNCZYK,,A,"704,807",98.47%,CA,,,#5,US:,,decaten,,A,"595,597",98.92%,PL,,,,,,,,,,,,,,#5,PL:,,MALISZEWSKI,,A,"511,151",97.13%,US,,,#5,US:,,decaten,,A,"437,438",98.11%,PL,,,#5,PL:,,szedis,,A,"363,344",94.47%,US,,,#5,AU:,,mrekk,,S,"641,792",97.51%,DE,,,#5,CA:,,PinkEyeFan2013,,A,"726,226",97.75%,AU,,,#5,CA:,,PinkEyeFan2013,,A,"514,074",96.94%,KR,,,#5,AU:,,aknzx,,B,"437,324",90.40%,CA,,,#5,US:,,decaten,,A,"544,824",97.91%,PL,,,#5,CA:,,xootynator,HD,A,"608,485",97.49%,AU,,,#5,PL:,,milosz,NM,A,"504,933",97.62%,US,,,#5,DE:,,okinamo,HD,A,"482,278",96.27%,AU,,,#5,CA:,,Zylice,NM,A,"629,951",98.84%,AU,,,#5,US:,,rektygon,NM,A,"358,915",97.20%,PL
,,#6,CA:,,nujabes,,A,"371,301",97.31%,KR,,,#6,DE:,,Fleh,,B,"330,256",89.62%,AU,,,#6,AU:,,aknzx,,A,"388,465",95.34%,CA,,,#6,KR:,,Amamya Kokoro,,A,"498,045",97.80%,CA,,,#6,KR:,,Allegrissimo,,A,"665,218",98.10%,CA,,,#6,AU:,,mrekk,,A,"577,345",98.87%,DE,,,,,,,,,,,,,,#6,US:,,tekkito,,A,"508,866",96.91%,PL,,,#6,PL:,,milosz,,A,"413,877",97.54%,US,,,#6,US:,,WindowLife,,A,"351,779",95.39%,PL,,,#6,CA:,,Wanderio,,S,"631,256",97.31%,AU,,,#6,US:,,WindowLife,,A,"675,467",98.41%,PL,,,#6,KR:,,Amamya Kokoro,,B,"490,815",90.98%,CA,,,#6,AU:,,cloppit,,A,"333,696",94.72%,CA,,,#6,DE:,,Denzel Curry,,A,"543,197",96.39%,AU,,,#6,PL:,,milosz,HR,A,"595,367",98.90%,US,,,#6,US:,,decaten,HR,A,"502,880",98.32%,PL,,,#6,DE:,,Tim Kackner,HR,A,"477,934",97.10%,AU,,,#6,AU:,,ASecretBox,NM,A,"611,368",98.43%,DE,,,#6,PL:,,szedis,NM,A,"352,652",95.47%,US
,,#7,KR:,,Suyong_,,A,"362,258",96.69%,CA,,,#7,AU:,,cloppit,,B,"294,515",92.70%,DE,,,#7,CA:,,xootynator,,A,"379,854",96.41%,KR,,,#7,AU:,,aknzx,,A,"474,094",97.38%,DE,,,#7,CA:,,Wanderio,,A,"659,795",96.69%,KR,,,#7,DE:,,criller,,A,"576,343",98.99%,AU,,,,,,,,,,,,,,#7,CA:,,xootynator,,A,"488,199",95.70%,KR,,,#7,PL:,,gnahus,,A,"396,421",97.73%,US,,,#7,PL:,,gnahus,,A,"326,817",95.96%,US,,,#7,US:,,WindowLife,,A,"588,366",98.16%,PL,,,#7,AU:,,aknzx,,A,"668,216",96.39%,CA,,,#7,KR:,,Suyong_,,B,"296,822",88.76%,CA,,,#7,CA:,,PinkEyeFan2013,,A,"325,337",94.16%,AU,,,#7,AU:,,cloppit,,A,"527,659",98.29%,DE,,,#7,CA:,,Zylice,HR,A,"587,788",98.09%,KR,,,#7,PL:,,evil grape,NM,A,"493,309",97.50%,US,,,#7,AU:,,cloppit,HR,A,"434,584",96.03%,DE,,,#7,KR:,,LATAJACYTUNCZYK,HD,A,"607,421",98.28%,CA,,,#7,PL:,,milosz,NM,A,"348,805",96.84%,US
,,#8,CA:,,Wanderio,,A,"360,320",97.92%,KR,,,#8,DE:,,okinamo,,B,"257,568",92.62%,AU,,,#8,KR:,,Nopekjk,,A,"376,461",96.80%,CA,,,#8,US:,,WindowLife,,A,"467,387",97.26%,PL,,,#8,US:,,BoshyMan741,,A,"658,662",98.04%,PL,,,#8,PL:,,MALISZEWSKI,,A,"542,580",99.30%,US,,,,,,,,,,,,,,#8,AU:,,mrekk,,A,"460,445",98.52%,DE,,,#8,PL:,,evil grape,,A,"325,189",96.36%,US,,,#8,PL:,,milosz,,A,"312,434",94.65%,US,,,#8,CA:,,yip,,S,"586,650",97.63%,AU,,,#8,CA:,,PinkEyeFan2013,,A,"626,585",98.35%,KR,,,#8,KR:,,[Karcher],,C,"201,425",82.14%,CA,,,#8,CA:,,SparklyFairy200,,B,"247,960",90.06%,AU,,,#8,US:,,WindowLife,,A,"527,390",96.20%,PL,,,#8,US:,,tekkito,HD,A,"580,533",98.29%,PL,,,#8,US:,,rektygon,HR,A,"492,580",98.08%,PL,,,#8,DE:,,Fleh,NM,A,"338,318",96.12%,AU,,,#8,PL:,,evil grape,NM,A,"596,948",98.59%,US,,,#8,US:,,WindowLife,NM,A,"324,815",96.63%,PL
,,,,,,,,,,,,,,,,,,,,,,,,#9,CA:,,yip,,A,"376,384",96.51%,AU,,,#9,KR:,,Allegrissimo,,A,"458,585",95.04%,CA,,,#9,KR:,,Amamya Kokoro,,A,"657,065",99.32%,CA,,,#9,AU:,,ASecretBox,,A,"511,048",98.54%,DE,,,,,,,,,,,,,,#9,KR:,,Nopekjk,,A,"448,581",95.86%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#9,CA:,,xootynator,,A,"583,003",96.56%,AU,,,#9,AU:,,ASecretBox,,A,"619,869",99.31%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#9,PL:,,MALISZEWSKI,,A,"525,255",97.77%,US,,,#9,US:,,rektygon,HR,A,"578,978",97.93%,PL,,,#9,PL:,,Kosiarek,HR,A,"483,246",96.92%,US,,,,,,,,,,,,,,#9,CA:,,Wanderio,NM,A,"591,924",98.09%,KR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#10,KR:,,Allegrissimo,,A,"353,138",96.66%,CA,,,#10,US:,,decaten,,A,"448,543",97.26%,PL,,,#10,AU:,,mrekk,,A,"640,405",99.09%,CA,,,#10,AU:,,palr,,A,"499,438",98.55%,DE,,,,,,,,,,,,,,#10,US:,,decaten,,A,"436,116",96.20%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#10,CA:,,xootynator,,S,"571,222",96.50%,KR,,,#10,KR:,,Amamya Kokoro,,A,"618,210",96.72%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#10,AU:,,ASecretBox,,A,"520,417",97.49%,DE,,,#10,AU:,,mrekk,NM,A,"571,994",99.07%,CA,,,#10,PL:,,MALISZEWSKI,HD,A,"480,462",97.52%,US,,,,,,,,,,,,,,#10,US:,,tekkito,HD,A,"580,961",99.04%,PL,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#11,AU:,,cloppit,,A,"332,113",96.05%,CA,,,#11,DE:,,criller,,A,"443,959",96.25%,AU,,,#11,PL:,,evil grape,,A,"636,184",98.24%,US,,,#11,PL:,,gnahus,,A,"484,969",98.42%,US,,,,,,,,,,,,,,#11,PL:,,gnahus,,A,"422,639",96.21%,US,,,,,,,,,,,,,,,,,,,,,,,,,#11,CA:,,yip,,A,"546,230",96.96%,KR,,,#11,PL:,,gnahus,,A,"585,866",98.95%,US,,,,,,,,,,,,,,,,,,,,,,,,,#11,PL:,,Kosiarek,,A,"497,960",96.20%,US,,,#11,KR:,,LATAJACYTUNCZYK,HD,A,"565,261",97.20%,CA,,,#11,AU:,,ASecretBox,HR,A,"472,422",97.69%,CA,,,,,,,,,,,,,,#11,AU:,,mrekk,NM,A,"567,497",99.15%,CA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#12,CA:,,yip,,A,"321,799",95.36%,KR,,,#12,CA:,,xootynator,,A,"443,029",94.88%,KR,,,#12,PL:,,hav,,A,"553,276",98.33%,US,,,#12,CA:,,nujabes,,A,"480,309",98.10%,KR,,,,,,,,,,,,,,#12,AU:,,palr,,A,"420,241",95.34%,DE,,,,,,,,,,,,,,,,,,,,,,,,,#12,PL:,,milosz,,A,"511,507",97.75%,US,,,#12,CA:,,xootynator,,A,"548,424",96.53%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#12,US:,,Pezz,,A,"459,396",96.39%,PL,,,#12,CA:,,Wanderio,NM,A,"563,980",98.62%,AU,,,#12,CA:,,yip,NM,A,"426,928",98.71%,AU,,,,,,,,,,,,,,#12,KR:,,Amamya Kokoro,NM,A,"517,628",99.04%,CA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#13,CA:,,Zylice,,A,"318,245",94.32%,AU,,,#13,CA:,,Wanderio,,A,"435,901",96.71%,KR,,,#13,AU:,,mrekk,,A,"542,596",98.30%,DE,,,#13,CA:,,Wanderio,,A,"479,919",98.32%,KR,,,,,,,,,,,,,,#13,CA:,,steamhappy,,A,"418,877",97.29%,KR,,,,,,,,,,,,,,,,,,,,,,,,,#13,KR:,,LATAJACYTUNCZYK,,A,"510,663",97.55%,CA,,,#13,CA:,,Zylice,,A,"546,374",97.96%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#13,US:,,rektygon,,S,"419,339",96.37%,PL,,,#13,CA:,,yip,NM,A,"534,499",98.84%,KR,,,#13,CA:,,Zylice,HD,A,"422,938",97.53%,AU,,,,,,,,,,,,,,#13,PL:,,gnahus,HD,A,"511,463",98.77%,US,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#14,CA:,,Wanderio,,A,"307,564",95.55%,AU,,,#14,US:,,rektygon,,A,"421,532",96.75%,PL,,,#14,AU:,,ASecretBox,,A,"536,832",98.06%,DE,,,#14,CA:,,Zylice,,A,"476,474",98.31%,KR,,,,,,,,,,,,,,#14,KR:,,LATAJACYTUNCZYK,,A,"414,288",96.17%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#14,AU:,,aknzx,,S,"496,621",97.26%,DE,,,#14,US:,,Pezz,,A,"532,955",97.75%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#14,DE:,,Tim Kackner,,A,"407,259",96.39%,AU,,,#14,AU:,,Xaver,NM,A,"517,623",97.45%,CA,,,#14,AU:,,palr,HD,A,"395,748",95.77%,CA,,,,,,,,,,,,,,#14,AU:,,ASecretBox,NM,A,"494,014",99.11%,CA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#15,KR:,,Amamya Kokoro,,A,"286,157",95.52%,CA,,,#15,AU:,,cloppit,,A,"389,706",96.88%,DE,,,#15,AU:,,palr,,A,"496,927",95.49%,DE,,,#15,KR:,,[Karcher],,A,"468,927",98.90%,CA,,,,,,,,,,,,,,#15,PL:,,evil grape,,A,"407,453",94.53%,US,,,,,,,,,,,,,,,,,,,,,,,,,#15,AU:,,ASecretBox,,A,"495,638",95.50%,CA,,,#15,KR:,,LATAJACYTUNCZYK,,A,"497,014",96.47%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#15,DE:,,aimbotcone,,A,"357,127",95.77%,AU,,,#15,CA:,,xootynator,HD,A,"513,529",97.48%,KR,,,#15,US:,,EthantrixV3,HD,A,"377,701",94.26%,PL,,,,,,,,,,,,,,#15,AU:,,palr,HD,A,"490,315",98.20%,CA,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,#16,CA:,,Wanderio,,A,"259,096",94.59%,KR,,,#16,DE:,,ZeitFrost,,A,"384,147",96.00%,AU,,,#16,KR:,,Nopekjk,,A,"470,063",95.14%,CA,,,#16,KR:,,Suyong_,,A,"465,760",97.45%,CA,,,,,,,,,,,,,,#16,AU:,,ASecretBox,,A,"407,201",96.39%,DE,,,,,,,,,,,,,,,,,,,,,,,,,#16,KR:,,[Karcher],,A,"492,555",97.11%,CA,,,#16,US:,,tekkito,,A,"495,652",98.37%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#16,AU:,,big snag,,A,"270,202",93.20%,DE,,,#16,PL:,,evil grape,NM,A,"508,023",97.84%,US,,,#16,AU:,,Xaver,NM,A,"362,950",97.48%,CA,,,,,,,,,,,,,,#16,AU:,,palr,HD,A,"478,487",98.32%,DE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#17,US:,,tekkito,,A,"375,340",97.13%,PL,,,#17,AU:,,palr,,A,"464,381",97.39%,CA,,,#17,US:,,EthantrixV3,,A,"461,603",96.91%,PL,,,,,,,,,,,,,,#17,CA:,,steamhappy,,A,"396,609",96.85%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#17,KR:,,Amamya Kokoro,,A,"480,507",96.61%,CA,,,#17,CA:,,xootynator,,A,"491,575",96.92%,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#17,AU:,,cloppit,HR,A,"479,045",98.55%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#17,CA:,,Wanderio,NM,A,"474,982",97.65%,AU,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#18,DE:,,yary,,A,"372,701",96.95%,AU,,,#18,CA:,,steamhappy,,A,"462,803",98.24%,AU,,,#18,CA:,,Zylice,,A,"459,887",98.49%,AU,,,,,,,,,,,,,,#18,CA:,,Zylice,,A,"395,606",94.44%,KR,,,,,,,,,,,,,,,,,,,,,,,,,#18,US:,,rektygon,,A,"479,575",97.20%,PL,,,#18,CA:,,Zylice,,A,"455,191",98.11%,KR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#18,CA:,,yip,NM,A,"452,398",98.27%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#18,PL:,,milosz,HR,A,"460,085",98.06%,US,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#19,CA:,,Zylice,,A,"362,931",94.08%,KR,,,#19,AU:,,ASecretBox,,A,"455,220",97.46%,CA,,,#19,AU:,,aknzx,,A,"445,834",98.91%,DE,,,,,,,,,,,,,,#19,CA:,,xootynator,,A,"390,263",95.68%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#19,DE:,,Denzel Curry,,A,"473,335",96.70%,AU,,,#19,KR:,,[Karcher],,A,"403,474",97.37%,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#19,CA:,,Wanderio,NM,A,"451,716",96.99%,KR,,,,,,,,,,,,,,,,,,,,,,,,,#19,CA:,,yip,HR,A,"457,444",97.60%,KR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20,CA:,,nujabes,,A,"361,448",94.80%,KR,,,#20,DE:,,Denzel Curry,,A,"455,218",96.11%,AU,,,#20,PL:,,milosz,,A,"441,301",98.81%,US,,,,,,,,,,,,,,#20,PL:,,milosz,,A,"374,158",94.28%,US,,,,,,,,,,,,,,,,,,,,,,,,,#20,PL:,,gnahus,,A,"462,141",97.78%,US,,,#20,CA:,,nujabes,,B,"395,039",91.81%,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20,KR:,,Suyong_,HR,A,"421,865",97.20%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#20,AU:,,mrekk,NM,A,"457,443",98.39%,DE,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#21,PL:,,gnahus,,A,"359,844",96.72%,US,,,#21,DE:,,yary,,A,"441,431",97.64%,AU,,,#21,DE:,,yary,,A,"436,665",98.20%,AU,,,,,,,,,,,,,,#21,US:,,[C],,A,"353,248",95.50%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#21,PL:,,Kosiarek,,A,"450,456",94.96%,US,,,#21,AU:,,cloppit,,A,"393,688",95.67%,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#21,KR:,,[Karcher],NM,A,"398,923",96.59%,CA,,,,,,,,,,,,,,,,,,,,,,,,,#21,US:,,decaten,HR,A,"454,020",98.49%,PL,,,,,,,,,,,
