,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,,Philippines,Icarussy,,S,"986,672",99.38%,"3,149,158",PL,,,#2,,Australia,ASecretBox,,S,"1,010,303",99.82%,"3,481,963",RO,,,#2,,United Kingdom,fudge,,S,"856,631",98.47%,"2,641,624",NZ,,,#2,,South Korea,LATAJACYTUNCZYK,,S,"938,167",98.13%,"3,012,602",CL,,,#2,,Australia,ASecretBox,,A,"694,749",91.97%,"2,229,729",RO,,,#2,,Russian Federation,Lexu2S,, S ,"962,993",97.44%,"2,846,008",CN,,,#2,,Philippines,ZaNy_,, S ,"1,026,556",99.05%,"3,417,647",PL,,,#2,,Taiwan,willy0214,,S,"1,047,190",98.73%,"2,701,345",NL,,,#2,,Japan,RafuNa,,S,"1,051,402",98.77%,"2,651,832",TH,,,#2,,Russian Federation,Welter,,S,"1,200,649",99.92%,"4,392,342",CN,,,#2,,China,lolol233,,S,"1,154,274",98.82%,"4,126,223",RU,,,#2,,Russian Federation,Welter,,S,"1,142,795",98.61%,"3,402,372",CN,,,#2,,Indonesia,MineFrostID,HR,S,"1,042,630",98.56%,"2,794,387",KZ,,,#2,,Australia,mrekk,NM,S,"947,807",98.26%,"3,041,236",RO,,,#2,,New Zealand,5aiyku,NM,S,"962,502",99.04%,"3,224,220",GB,,,#2,,Thailand,-Kedama,HD,A,"383,631",96.11%,"1,257,868",JP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LordGabriel,,A,"886,341",99.30%,,,,,,,,mrekk,,S,"977,211",98.82%,,,,,,,,Bubbleman,,A,"811,937",97.35%,,,,,,,,Nopekjk,,S,"913,657",97.45%,,,,,,,,mrekk,,S,"649,796",96.38%,,,,,,,,desuqe,, S ,"826,923",98.64%,,,,,,,,NathanRam1918,, S ,"1,016,808",98.87%,,,,,,,,Spinesnight,,A,"734,040",97.15%,,,,,,,,Homutan,,A,"635,097",97.44%,,,,,,,,maxim,,S,"1,196,221",99.83%,,,,,,,,lolol235,,S,"1,112,419",97.69%,,,,,,,,gamer228666,,S,"1,040,168",96.08%,,,,,,,,Hakui Koyori,NM,S,"903,449",99.11%,,,,,,,,palr,HD, S ,"923,792",95.81%,,,,,,,,Saiyku,HR,S,"893,927",96.83%,,,,,,,,Arz3,NM,A,"312,350",96.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Rammu,,A,"692,831",99.43%,,,,,,,,cloppit,,A,"871,600",98.49%,,,,,,,,Plasma,,A,"567,110",96.62%,,,,,,,,Amamya Kokoro,,A,"589,766",98.94%,,,,,,,,palr,,S,"552,924",93.51%,,,,,,,,Welter,,A,"672,970",98.66%,,,,,,,,Icarussy,,A,"763,656",96.81%,,,,,,,,Ruyaya,,A,"531,858",97.33%,,,,,,,,shouponpon,,A,"530,176",97.11%,,,,,,,,Lexu2S,,S,"1,182,147",99.42%,,,,,,,,Ledeau_Fox,,S,"1,057,765",96.35%,,,,,,,,desuqe,,A,"681,360",95.40%,,,,,,,,GNX,HD,A,"440,930",95.06%,,,,,,,,Xaver,NM,A,"588,672",98.46%,,,,,,,,Kyujin,HD,A,"859,507",98.50%,,,,,,,,chests,NM,A,"290,760",93.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,NathanRam1918,,A,"583,314",99.55%,,,,,,,,aknzx,,A,"622,849",98.92%,,,,,,,,Mahmood,,A,"405,946",95.80%,,,,,,,,Allegrissimo,,S,"571,012",97.20%,,,,,,,,aknzx,,A,"332,260",93.84%,,,,,,,,maxim,,A,"383,122",92.90%,,,,,,,,Rammu,,A,"610,627",98.03%,,,,,,,,Ethan2222,,A,"388,257",96.89%,,,,,,,,hosesan1020,,A,"435,157",95.58%,,,,,,,,gamer228666,,A,"813,325",98.16%,,,,,,,,z980838928,,A,"801,765",97.41%,,,,,,,,Lexu2S,,S,"538,049",97.04%,,,,,,,,Thatnoobguy,HR,A,"407,378",96.97%,,,,,,,,ASecretBox,HR,A,"580,965",98.85%,,,,,,,,ozbert,HDHR,A,"508,284",95.83%,,,,,,,,Lesperry,NM,A,"271,127",93.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#3,,Sweden,scylla,,S,"1,000,949",99.74%,"3,141,603",MY,,,#3,,New Zealand,Kyujin,,S,"979,508",98.86%,"3,479,831",GB,,,#3,,New Zealand,ozbert,,S,"841,028",94.88%,"2,570,761",GB,,,#3,,China,lolol233,,S,"957,510",98.77%,"2,988,264",RU,,,#3,,China,lolol233,,S,"608,645",93.98%,"2,012,692",RU,,,#3,,Japan,Furamun,,A,"923,469",97.26%,"2,745,836",TH,,,#3,,United States,EthantrixV3,, S ,"1,041,073",99.48%,"3,337,995",FR,,,#3,,South Korea,MYKEYBOARD,,A,"761,813",98.14%,"2,619,943",CL,,,#3,,Thailand,chests,,A,"814,743",96.62%,"2,123,215",JP,,,#3,,United Kingdom,fudge,,S,"1,192,216",99.75%,"4,343,676",NZ,,,#3,,Finland,vaadin peukkua,,S,"1,162,267",99.00%,"3,858,794",PE,,,#3,,Brazil,Coreanmaluco,,S,"1,104,311",97.71%,"3,184,539",DE,,,#3,,Romania,badeu,NM,A,"911,628",97.67%,"2,532,872",AU,,,#3,,Romania,badeu,NM,A,"885,714",98.30%,"2,929,284",AU,,,#3,,Canada,xootynator,HDHR, S ,"953,664",97.20%,"3,180,875",NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Andros,,A,"895,458",99.08%,,,,,,,,Saiyku,,S,"929,493",97.54%,,,,,,,,Kyujin,,A,"813,842",97.28%,,,,,,,,Crystal,,A,"779,895",97.69%,,,,,,,,Crystal,,S,"571,700",95.81%,,,,,,,,YMD,,A,"718,909",97.90%,,,,,,,,rektygon,, S ,"1,039,637",99.48%,,,,,,,,LATAJACYTUNCZYK,,A,"729,987",97.71%,,,,,,,,Arz3,,A,"522,111",97.78%,,,,,,,,Bubbleman,,S,"1,175,592",99.33%,,,,,,,,Mike Tyson,,S,"1,042,461",95.95%,,,,,,,,tayko,,S,"991,599",94.61%,,,,,,,,etn,HR,A,"717,186",99.50%,,,,,,,,Kehest,NM,S,"844,763",96.40%,,,,,,,,Wanderio,NM,S,"945,949",98.62%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,melwem,,A,"674,763",99.81%,,,,,,,,5aiyku,,S,"910,870",96.97%,,,,,,,,5aiyku,,A,"528,663",97.79%,,,,,,,,lolol235,,A,"703,878",97.47%,,,,,,,,lolol235,,B,"421,334",93.12%,,,,,,,,haga1115,,A,"672,045",98.65%,,,,,,,,[C],,A,"787,635",99.05%,,,,,,,,Amamya Kokoro,,A,"673,382",98.64%,,,,,,,,-Kedama,,A,"428,037",96.17%,,,,,,,,Mahmood,,S,"1,126,022",98.08%,,,,,,,,Xepei,,A,"1,009,169",96.23%,,,,,,,,Kurumiw,,A,"634,184",94.68%,,,,,,,,Kehest,HR,A,"477,074",97.87%,,,,,,,,etn,HR,A,"672,432",99.10%,,,,,,,,yip,NM,A,"782,642",99.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Guyra_,,S,"570,433",98.94%,,,,,,,,ozbert,,S,"659,960",96.39%,,,,,,,,Saiyku,,A,"387,228",96.75%,,,,,,,,lolol234,,A,"546,981",95.31%,,,,,,,,lolol234,,B,"411,013",91.76%,,,,,,,,shouponpon,,A,"431,413",96.74%,,,,,,,,tekkito,,A,"469,650",98.70%,,,,,,,,[Karcher],,A,"454,761",98.48%,,,,,,,,Lesperry,,A,"358,324",95.07%,,,,,,,,MALTESER,,A,"849,846",99.62%,,,,,,,,Amasetic,,A,"644,897",98.71%,,,,,,,,-izzy,,A,"454,445",95.60%,,,,,,,,origin_,HD,A,"426,984",97.80%,,,,,,,,origin_,HD,A,"526,375",99.00%,,,,,,,,steamhappy,HD,A,"498,620",98.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#4,,Germany,criller,,S,"929,728",99.78%,"3,119,391",BR,,,#4,,Finland,Amasetic,,S,"984,792",99.17%,"3,141,701",PE,,,#4,,Thailand,Arz3,,S,"908,297",96.84%,"2,555,424",JP,,,#4,,Türkiye,Raikouhou,,S,"902,642",96.99%,"2,950,292",IT,,,#4,,Canada,xootynator,,A,"712,713",91.22%,"1,997,616",NO,,,#4,,Thailand,-Kedama,,A,"822,791",98.27%,"2,698,244",JP,,,#4,,Canada,xootynator,,A,"1,006,914",99.52%,"3,270,985",NO,,,#4,,Chile,alfiu,,S,"688,622",99.02%,"2,408,688",KR,,,#4,,France,Hifkil,,A,"667,114",98.34%,"2,061,359",US,,,#4,,United States,rektygon,,S,"1,191,771",99.75%,"4,249,367",FR,,,#4,,New Zealand,Kyujin,,S,"1,168,760",99.13%,"3,819,522",GB,,,#4,,China,Crystal,,A,"813,878",96.57%,"3,007,571",RU,,,#4,,Malaysia,Chibi Maruko,NM,A,"806,263",97.67%,"2,435,132",SE,,,#4,,United States,decaten,HR,A,"860,642",98.73%,"2,900,553",FR,,,#4,,South Korea,Amamya Kokoro,HR,S,"1,053,420",98.87%,"2,964,910",CL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tim Kackner,,S,"858,669",99.94%,,,,,,,,Xepei,,S,"946,388",98.10%,,,,,,,,Lesperry,,A,"776,377",95.56%,,,,,,,,Shinkiro,,S,"887,642",96.84%,,,,,,,,yip,,S,"496,058",94.05%,,,,,,,,miinr,,A,"739,688",95.16%,,,,,,,,steamhappy,,A,"861,580",99.31%,,,,,,,,Intercambing,,A,"649,114",97.32%,,,,,,,,Satsukiiii,,A,"527,427",97.92%,,,,,,,,Pezz,,S,"1,187,518",99.67%,,,,,,,,ozbert,,S,"1,106,428",97.79%,,,,,,,,lolol233,,A,"811,715",98.46%,,,,,,,,Harumi Ena,NM,A,"570,649",98.07%,,,,,,,,rektygon,HR,A,"834,206",98.69%,,,,,,,,LATAJACYTUNCZYK,HD,A,"814,092",98.71%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,yary,,A,"759,726",99.66%,,,,,,,,Isak-,,A,"614,192",98.27%,,,,,,,,-Kedama,,A,"499,955",94.94%,,,,,,,,spray-,,A,"676,005",95.91%,,,,,,,,steamhappy,,A,"417,592",93.98%,,,,,,,,chests,,B,"595,551",92.45%,,,,,,,,Zylice,,A,"838,266",99.18%,,,,,,,,Hanayume,,A,"571,572",98.77%,,,,,,,,Musty,,A,"493,860",97.80%,,,,,,,,WindowLife,,A,"1,012,854",99.16%,,,,,,,,HaSappy,,A,"817,023",98.41%,,,,,,,,lolol235,,S,"752,854",97.39%,,,,,,,,Rampax,HR,A,"542,118",97.84%,,,,,,,,Pezz,HR,A,"606,140",99.19%,,,,,,,,Allegrissimo,NM,A,"652,341",98.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Fleh,,S,"571,268",99.20%,,,,,,,,vaadin peukkua,,A,"596,329",95.60%,,,,,,,,chests,,A,"370,795",93.48%,,,,,,,,Ievi-,,A,"484,003",95.04%,,,,,,,,Wanderio,,A,"371,253",95.05%,,,,,,,,Lesperry,,B,"540,214",92.66%,,,,,,,,Wanderio,,A,"564,225",98.94%,,,,,,,,xXChokgamerXx,,A,"499,380",97.15%,,,,,,,,calangi,,A,"372,958",96.07%,,,,,,,,tekkito,,S,"857,224",99.48%,,,,,,,,Saiyku,,A,"727,311",97.22%,,,,,,,,lolol234,,A,"629,124",95.18%,,,,,,,,mabayu,HD,A,"516,102",97.74%,,,,,,,,EthantrixV3,HD,A,"599,565",96.96%,,,,,,,,Nopekjk,NM,A,"445,057",97.91%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,,Singapore,Mekeyo,,S,"998,598",99.69%,"2,855,391",AT,,,#5,,Austria,z10a,,S,"887,804",96.14%,"3,020,732",SG,,,#5,,Chile,Intercambing,,S,"898,365",96.78%,"2,422,704",KR,,,#5,,Chile,alfiu,,S,"929,071",97.92%,"2,736,649",KR,,,#5,,France,calangi,,A,"725,246",91.00%,"1,921,838",US,,,,,,,,,,,,,,,#5,,Kazakhstan,Kamensh1k,, S ,"1,016,910",98.87%,"3,200,972",ID,,,#5,,France,Musty,,A,"752,505",98.30%,"2,294,685",US,,,#5,,Indonesia,Thatnoobguy,,A,"555,059",97.55%,"1,996,486",KZ,,,#5,,France,JapWhite,,SS,"1,205,280",100.00%,"3,961,387",US,,,#5,,Indonesia,Stixe,,S,"1,175,424",99.44%,"3,782,345",KZ,,,#5,,Italy,Toukai Teiou,,S,"1,074,814",96.92%,"2,947,412",TR,,,#5,,Austria,tomadoi,HD,A,"620,899",98.71%,"2,324,941",SG,,,#5,,Türkiye,Raikouhou,HR,S,"924,855",99.27%,"2,734,816",IT,,,#5,,Taiwan,GAO HAO,NM,S,"946,581",98.53%,"2,903,894",NL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Cymango,,A,"750,029",98.21%,,,,,,,,Akuma no Tenshi,,A,"807,999",96.89%,,,,,,,,siiphs,,A,"615,509",95.15%,,,,,,,,Lasseh,,A,"708,603",93.44%,,,,,,,,Musty,,B,"561,456",92.11%,,,,,,,,,,,,,,,,,,,,Ternafis,,A,"1,002,396",98.83%,,,,,,,,Hifkil,,A,"613,671",97.89%,,,,,,,,Stixe,,A,"490,365",96.83%,,,,,,,,Hifkil,,S,"1,174,907",99.33%,,,,,,,,MineFrostID,,S,"1,149,574",98.75%,,,,,,,,Duke,,A,"640,231",95.01%,,,,,,,,z10a,HR,A,"576,549",98.68%,,,,,,,,Shinkiro,NM,S,"877,504",99.41%,,,,,,,,Ruyaya,HD, S ,"873,258",98.56%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Dawnwing,,A,"650,661",99.38%,,,,,,,,z9a,,A,"785,514",98.49%,,,,,,,,alfiu,,A,"465,371",97.17%,,,,,,,,Intercambing,,A,"648,356",98.03%,,,,,,,,fiaee,,A,"332,671",93.98%,,,,,,,,,,,,,,,,,,,,shiyumi,,A,"770,412",98.07%,,,,,,,,FlasTEH,,A,"496,922",95.53%,,,,,,,,MineFrostID,,A,"478,299",97.07%,,,,,,,,Geordie Greep,,A,"850,025",98.62%,,,,,,,,lifeline,,S,"981,133",93.83%,,,,,,,,-NyX,,S,"619,216",96.05%,,,,,,,,z9a,HR,A,"569,428",98.05%,,,,,,,,Orkay,NM,S,"491,876",99.37%,,,,,,,,Ethan2222,NM,S,"645,385",98.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Tebi,,A,"456,103",98.87%,,,,,,,,fedoragoose,,A,"539,415",93.00%,,,,,,,,xXChokgamerXx,,A,"443,459",96.68%,,,,,,,,siiphs,,A,"450,619",94.75%,,,,,,,,Satsukiiii,,A,"302,465",93.41%,,,,,,,,,,,,,,,,,,,,3uma,,A,"411,254",96.12%,,,,,,,,calangi,,A,"431,587",96.33%,,,,,,,,lifeline,,A,"472,763",94.05%,,,,,,,,FlasTEH,,A,"731,175",98.16%,,,,,,,,Hakui Koyori,,A,"476,214",93.95%,,,,,,,,kusuriya,,S,"613,151",95.93%,,,,,,,,fedoragoose,NM,A,"558,065",99.03%,,,,,,,,spray-,HD,A,"440,581",96.89%,,,,,,,,willy0214,HR,A,"438,670",97.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
