,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#2,,Indonesia,MineFrostID,,S,"581,780",98.93%,"2,020,167",PH,,,#2,,Norway,NINERIK,,S,"988,105",99.73%,"3,100,548",BR,,,#2,,Brazil,VitorSkull,,A,"801,091",98.30%,"2,246,129",FI,,,#2,,Poland,Kosiarek,,S,"933,140",98.31%,"2,720,110",CN,,,#2,,Türkiye,LyeRR,,A,"868,120",96.09%,"2,299,890",NO,,,#2,,Germany,criller,, S ,"1,047,978",99.73%,"2,669,168",CA,,,#2,,Romania,origin_,,A,"793,051",98.27%,"1,867,409",TW,,,#2,,South Korea,LATAJACYTUNCZYK,, S ,"1,011,560",98.83%,"3,149,890",AU,,,#2,,South Korea,[Karcher],,A,"984,004",98.06%,"2,908,733",AU,,,#2,,Brazil,Nyash,,A,"480,779",98.19%,"1,759,328",NO,,,#2,,Norway,NINERIK,,S,"980,125",96.63%,"3,126,133",TR,,,#2,,Austria,z9a,,S,"1,125,653",97.61%,"3,283,119",CL,,,#2,,United States,rektygon,,A,"1,013,796",96.40%,"2,733,171",GB,,,#2,,Norway,NINERIK,,S,"1,188,473",99.73%,"3,333,998",TR,,,#2,,Chile,alfiu,,A,"823,760",97.78%,"3,072,302",TW,,,#2,,Australia,ASecretBox,HD, S ,"1,049,174",99.72%,"3,030,672",KR,,,#2,,Philippines,NathanRam1918,NM,S,"960,208",98.78%,"3,190,863",RU,,,#2,,Russian Federation,gamer228666,NM,A,"659,416",99.09%,"2,177,998",PH,,,#2,,Australia,mrekk,NM,S,"990,198",99.66%,"3,042,534",KR,,,#2,,Romania,etn,NM,A,"639,237",98.14%,"1,822,728",TW
,,,,,Hakui Koyori,,A,"545,064",98.71%,,,,,,,,papercandle,,S,"967,537",99.18%,,,,,,,,Kurumiw,,A,"603,287",96.86%,,,,,,,,MALISZEWSKI,,S,"828,069",99.38%,,,,,,,,Shinkiro,,A,"550,018",98.51%,,,,,,,,okinamo,,A,"690,188",98.98%,,,,,,,,badeu,,A,"414,713",92.40%,,,,,,,,Allegrissimo,,A,"874,015",96.48%,,,,,,,,LATAJACYTUNCZYK,,A,"702,021",99.51%,,,,,,,,shwq,,A,"452,489",97.68%,,,,,,,,Melvr,,S,"905,513",94.55%,,,,,,,,z10a,,A,"840,927",96.89%,,,,,,,,tekkito,,A,"694,623",98.14%,,,,,,,,Pinguinzi,,A,"945,722",95.50%,,,,,,,,Intercambing,,A,"788,762",99.43%,,,,,,,,mrekk,NM,S,"993,089",99.79%,,,,,,,,LordGabriel,HR,S,"954,544",95.77%,,,,,,,,desuqe,NM,A,"570,278",99.00%,,,,,,,,ASecretBox,NM,S,"963,558",98.92%,,,,,,,,origin_,NM,A,"448,823",97.96%,,
,,,,,lifeline,,A,"506,496",99.06%,,,,,,,,Pinguinzi,,A,"716,368",96.43%,,,,,,,,-izzy,,A,"463,387",97.16%,,,,,,,,milosz,,A,"574,922",98.94%,,,,,,,,spray-,,A,"467,405",98.32%,,,,,,,,yary,,A,"472,524",98.79%,,,,,,,,capybaras,,A,"335,844",96.57%,,,,,,,,Amamya Kokoro,,A,"660,879",99.05%,,,,,,,,Amamya Kokoro,,A,"699,359",98.37%,,,,,,,,-izzy,,A,"428,441",97.91%,,,,,,,,YokesPai,,A,"758,651",92.67%,,,,,,,,fedoragoose,,A,"701,640",96.45%,,,,,,,,WindowLife,,A,"529,746",97.12%,,,,,,,,HUNDUR,,A,"683,382",98.65%,,,,,,,,siiphs,,A,"756,555",99.03%,,,,,,,,cloppit,NM,A,"517,587",98.21%,,,,,,,,ZaNy_,HD,A,"674,953",99.31%,,,,,,,,Lexu2S,HD,A,"498,496",98.18%,,,,,,,,cloppit,HR,A,"563,858",98.66%,,,,,,,,capybaras,NM,A,"375,347",97.42%,,
,,,,,GNX,,A,"386,827",97.98%,,,,,,,,HUNDUR,,A,"428,538",96.99%,,,,,,,,kagiura,,A,"378,364",96.71%,,,,,,,,gnahus,,A,"383,979",97.62%,,,,,,,,Ievi-,,A,"414,347",96.09%,,,,,,,,Tim Kackner,,A,"458,478",98.93%,,,,,,,,etn,,A,"323,801",95.89%,,,,,,,,[Karcher],,A,"603,436",97.65%,,,,,,,,Allegrissimo,,A,"523,349",97.57%,,,,,,,,tayko,,A,"397,619",96.29%,,,,,,,,antonyw,,S,"481,844",96.27%,,,,,,,,Akuma no Tenshi,,A,"614,899",97.49%,,,,,,,,Pezz,,A,"495,006",95.98%,,,,,,,,papercandle,,S,"516,421",97.30%,,,,,,,,NO37,,A,"703,225",98.81%,,,,,,,,aknzx,HR,A,"470,822",98.92%,,,,,,,,zonelouise,HR,A,"601,158",94.87%,,,,,,,,Welter,HR,A,"449,808",97.68%,,,,,,,,palr,HD,A,"524,920",97.88%,,,,,,,,AlexBelea,NM,A,"359,321",96.60%,,
,,,,,,,,,,,,,,#3,,Poland,milosz,,A,"918,997",99.18%,"3,075,538",CN,,,#3,,New Zealand,Kyujin,,A,"601,767",98.90%,"2,053,408",FR,,,#3,,Canada,xootynator,,S,"938,897",98.47%,"2,694,854",DE,,,#3,,China,Crystal,,A,"770,195",96.75%,"1,902,619",PL,,,#3,,Canada,nujabes,,A,"823,901",98.37%,"2,605,706",DE,,,#3,,United Kingdom,Plasma,,A,"601,458",98.47%,"1,773,469",US,,,#3,,Canada,Zylice,,A,"969,049",98.27%,"2,920,678",DE,,,#3,,Australia,ASecretBox,,S,"1,030,021",98.25%,"2,837,706",KR,,,,,,,,,,,,,,,#3,,Norway,antonyw,,S,"1,028,799",98.05%,"3,089,612",BR,,,#3,,Poland,milosz,,S,"1,168,081",98.86%,"3,276,137",CN,,,#3,,Norway,NINERIK,,A,"712,730",99.17%,"2,347,378",TR,,,#3,,Canada,PinkEyeFan2013,,S,"1,135,489",98.54%,"3,083,337",DE,,,#3,,Chile,Intercambing,,A,"788,217",99.26%,"2,888,143",AT,,,#3,,Taiwan,willy0214,NM,A,"798,066",99.18%,"2,609,035",RO,,,#3,,United States,decaten,HR,S,"1,066,554",99.05%,"3,154,709",GB,,,#3,,Russian Federation,desuqe,NM,A,"757,138",99.03%,"2,175,629",ES,,,#3,,South Korea,Amamya Kokoro,NM,A,"730,843",98.75%,"2,696,986",AU,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,evil grape,,A,"863,607",97.64%,,,,,,,,ozbert,,A,"509,900",96.80%,,,,,,,,Wanderio,,A,"701,774",97.86%,,,,,,,,lolol234,,A,"410,789",94.96%,,,,,,,,xootynator,,A,"748,825",99.52%,,,,,,,,Bubbleman,,A,"526,225",98.73%,,,,,,,,steamhappy,,A,"815,573",98.91%,,,,,,,,mrekk,,S,"930,062",98.58%,,,,,,,,,,,,,,,,,,,,YokesPai,,S,"921,013",94.81%,,,,,,,,MALISZEWSKI,,A,"960,830",99.28%,,,,,,,,Pinguinzi,,A,"631,753",96.05%,,,,,,,,nujabes,,A,"735,123",98.61%,,,,,,,,alfiu,,A,"769,597",98.27%,,,,,,,,Rizer,NM,S,"763,479",99.48%,,,,,,,,rektygon,HR,S,"1,021,379",97.77%,,,,,,,,Welter,NM,A,"571,642",99.76%,,,,,,,,LATAJACYTUNCZYK,HD,A,"695,957",98.24%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Rafis,,A,"663,754",99.08%,,,,,,,,Saiyku,,A,"477,451",97.76%,,,,,,,,yip,,A,"544,171",98.29%,,,,,,,,lolol235,,A,"395,363",96.07%,,,,,,,,Wanderio,,A,"545,143",98.57%,,,,,,,,fudge,,A,"353,929",96.33%,,,,,,,,xootynator,,A,"583,590",97.94%,,,,,,,,aknzx,,A,"502,577",97.80%,,,,,,,,,,,,,,,,,,,,Melvr,,S,"624,431",94.42%,,,,,,,,gnahus,,A,"627,183",97.74%,,,,,,,,HUNDUR,,A,"530,734",93.78%,,,,,,,,SparklyFairy200,,S,"618,171",96.18%,,,,,,,,NO37,,A,"712,607",99.43%,,,,,,,,Spinesnight,HD,A,"759,877",96.62%,,,,,,,,BoshyMan741,NM,A,"632,423",98.75%,,,,,,,,BJIADOC,HD,A,"440,782",98.12%,,,,,,,,[Karcher],HR,A,"661,036",98.58%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MALISZEWSKI,,A,"629,180",97.72%,,,,,,,,5aiyku,,A,"464,290",96.96%,,,,,,,,Zylice,,A,"510,012",98.02%,,,,,,,,lolol233,,A,"326,272",95.11%,,,,,,,,Zylice,,A,"487,837",98.54%,,,,,,,,skia1,,A,"291,857",94.54%,,,,,,,,Wanderio,,A,"552,466",96.87%,,,,,,,,Xaver,,A,"375,046",94.98%,,,,,,,,,,,,,,,,,,,,NINERIK,,S,"515,369",97.11%,,,,,,,,Rafis,,A,"520,043",98.85%,,,,,,,,papercandle,,A,"472,161",95.98%,,,,,,,,Zylice,,A,"594,554",98.69%,,,,,,,,siiphs,,A,"617,722",98.38%,,,,,,,,Shirosora,HR,B,"287,613",92.24%,,,,,,,,EthantrixV3,HD,A,"434,353",96.84%,,,,,,,,gamer228666,HR,A,"406,067",96.06%,,,,,,,,Chipori,NM,S,"609,150",98.48%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,#4,,South Korea,Chipori,,S,"955,472",98.78%,"2,932,485",AU,,,#4,,France,Musty,,A,"499,242",97.07%,"1,901,499",NZ,,,#4,,Germany,criller,,A,"906,743",98.74%,"2,565,747",CA,,,#4,,Romania,etn,,A,"602,631",96.79%,"1,877,363",TW,,,#4,,Spain,A L E P H,,A,"857,134",99.28%,"2,494,705",RU,,,#4,,Philippines,NathanRam1918,,A,"511,044",98.85%,"1,655,182",RU,,,#4,,Russian Federation,desuqe,,A,"863,231",98.78%,"2,769,481",PH,,,#4,,New Zealand,Saiyku,,S,"1,055,062",98.89%,"2,773,691",FR,,,,,,,,,,,,,,,#4,,Poland,MALISZEWSKI,,S,"1,024,385",97.92%,"3,084,924",CN,,,#4,,Canada,xootynator,,S,"1,138,204",98.15%,"3,248,315",DE,,,#4,,Türkiye,Raikouhou,,A,"806,993",99.03%,"2,297,686",NO,,,#4,,Norway,NINERIK,,S,"1,021,112",99.72%,"3,043,767",BR,,,#4,,France,calangi,,A,"704,274",97.84%,"2,597,005",NZ,,,#4,,Philippines,NathanRam1918,NM,A,"760,299",98.24%,"2,509,718",ID,,,#4,,Chile,Intercambing,HR,S,"932,721",96.71%,"3,078,759",TW,,,#4,,Türkiye,Raikouhou,HR,A,"894,893",98.24%,"2,155,080",NO,,,#4,,Spain,ESCRUPULILLO,NM,S,"919,634",97.63%,"2,623,201",RU,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,[Karcher],,S,"899,406",97.01%,,,,,,,,fiaee,,A,"483,958",97.75%,,,,,,,,Denzel Curry,,A,"656,272",98.50%,,,,,,,,origin_,,A,"595,219",97.34%,,,,,,,,BabyScylla,,A,"704,635",98.91%,,,,,,,,ZaNy_,,A,"492,469",97.62%,,,,,,,,Lexu2S,,A,"813,621",97.22%,,,,,,,,Kyujin,,A,"637,229",98.82%,,,,,,,,,,,,,,,,,,,,Kosiarek,,S,"903,552",97.15%,,,,,,,,nujabes,,A,"938,244",97.66%,,,,,,,,Clutch,,A,"594,879",94.74%,,,,,,,,papercandle,,S,"902,129",98.42%,,,,,,,,fiaee,,A,"677,978",98.75%,,,,,,,,zonelouise,NM,A,"707,913",98.24%,,,,,,,,Hanayume,HR,A,"771,836",97.68%,,,,,,,,Shinkiro,HD,A,"473,992",97.77%,,,,,,,,A L E P H,HD,A,"737,586",98.21%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,LATAJACYTUNCZYK,,A,"654,328",94.94%,,,,,,,,calangi,,A,"479,401",98.21%,,,,,,,,yary,,A,"594,561",99.18%,,,,,,,,badeu,,A,"522,183",93.81%,,,,,,,,junamat,,A,"477,368",98.75%,,,,,,,,Rammu,,A,"328,632",95.59%,,,,,,,,BJIADOC,,A,"652,880",97.98%,,,,,,,,5aiyku,,A,"559,304",98.31%,,,,,,,,,,,,,,,,,,,,szedis,,A,"634,953",96.04%,,,,,,,,SparklyFairy200,,A,"616,127",96.16%,,,,,,,,gheanfoil,,A,"505,021",95.85%,,,,,,,,Pinguinzi,,A,"569,639",95.89%,,,,,,,,FlasTEH,,A,"663,527",97.27%,,,,,,,,ZaNy_,HD,A,"554,872",98.28%,,,,,,,,siiphs,HDHR,A,"706,039",97.55%,,,,,,,,spray-,NM,A,"412,878",98.02%,,,,,,,,[dekori],HR,A,"484,022",96.29%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,MYKEYBOARD,,A,"423,279",96.59%,,,,,,,,Satsukiiii,,A,"438,898",98.49%,,,,,,,,ZeitFrost,,A,"408,171",97.97%,,,,,,,,Kehest,,B,"157,330",86.31%,,,,,,,,towny1,,A,"455,568",98.27%,,,,,,,,Icarussy,,A,"323,037",94.74%,,,,,,,,Skrowell,,A,"439,749",95.47%,,,,,,,,ozbert,,A,"522,096",95.72%,,,,,,,,,,,,,,,,,,,,milosz,,S,"522,034",97.47%,,,,,,,,Wanderio,,A,"555,740",96.23%,,,,,,,,LyeRR,,B,"390,793",92.17%,,,,,,,,HUNDUR,,A,"550,887",97.51%,,,,,,,,Geordie Greep,,A,"551,226",98.04%,,,,,,,,LordGabriel,HR,A,"486,634",95.91%,,,,,,,,NO37,HD,A,"668,163",99.40%,,,,,,,,Ievi-,NM,A,"373,317",97.38%,,,,,,,,BabyScylla,HD,A,"481,959",96.41%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,#5,,Germany,Fleh,,S,"903,546",97.28%,"2,862,615",CA,,,#5,,New Zealand,Kyujin,,A,"662,754",98.90%,"1,881,662",SE,,,#5,,Norway,Melvr,,A,"662,643",98.24%,"2,319,942",TR,,,#5,,France,fiaee,,A,"567,502",99.00%,"1,682,103",JP,,,#5,,Brazil,-izzy,,A,"713,273",99.67%,"2,449,558",NO,,,#5,,Russian Federation,Welter,,A,"456,497",95.61%,"1,543,263",PH,,,#5,,United States,EthantrixV3,,A,"756,714",97.01%,"2,417,730",GB,,,#5,,Norway,NINERIK,,A,"996,458",98.52%,"2,675,526",TR,,,,,,,,,,,,,,,#5,,Romania,origin_,,S,"990,398",96.89%,"2,700,390",TW,,,#5,,New Zealand,Saiyku,,S,"1,126,644",97.61%,"3,235,468",SE,,,#5,,United Kingdom,Accolibed,,A,"593,657",97.24%,"2,066,892",US,,,#5,,Russian Federation,Lexu2S,,A,"919,913",98.76%,"2,882,697",ES,,,#5,,United Kingdom,Plasma,,A,"705,110",99.26%,"2,561,226",US,,,#5,,Russian Federation,gamer228666,NM,S,"693,831",99.44%,"2,480,346",PH,,,#5,,South Korea,Allegrissimo,NM,S,"967,240",98.97%,"2,942,761",AU,,,#5,,Philippines,NathanRam1918,NM,A,"757,397",99.62%,"2,099,005",ID,,,#5,,Brazil,kagiura,NM,S,"877,080",98.22%,"2,614,945",NO,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,ZeitFrost,,S,"842,816",94.84%,,,,,,,,Saiyku,,A,"491,319",97.74%,,,,,,,,NINERIK,,A,"597,047",99.06%,,,,,,,,FlasTEH,,A,"392,525",96.02%,,,,,,,,Kurumiw,, S ,"636,009",99.41%,,,,,,,,Lexu2S,,A,"415,121",96.05%,,,,,,,,tekkito,,A,"563,220",97.84%,,,,,,,,papercandle,,A,"603,455",98.80%,,,,,,,,,,,,,,,,,,,,badeu,,S,"748,314",96.73%,,,,,,,,Kyujin,,A,"934,542",98.35%,,,,,,,,MALTESER,,A,"593,551",97.67%,,,,,,,,maxim,,A,"844,917",98.69%,,,,,,,,skia1,,A,"702,850",96.39%,,,,,,,,Welter,HR,A,"668,484",98.07%,,,,,,,,[Karcher],HR,A,"792,565",98.65%,,,,,,,,ZaNy_,HD,A,"499,958",98.77%,,,,,,,,Kurumiw,HR,A,"615,277",95.19%,,,,,,,,,,,,,,
