,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,US:,,decaten,,A,"514,988",99.46%,AU,,,#5,US:,,decaten,,A,"445,152",96.36%,AU,,,#5,AU:,,mrekk,,A,"368,948",96.13%,US,,,,,,,,,,,,,,#5,PL:,,evil grape,,A,"330,262",94.28%,US,,,#5,US:,,rektygon,,A,"566,616",98.30%,PL,,,,,,,,,,,,,,#5,US:,,tekkito,,A,"398,936",97.42%,PL,,,,,,,,,,,,,,#5,PL:,,Kosiarek,,A,"440,563",96.16%,US,,,#5,PL:,,MALISZEWSKI,,A,"513,672",98.65%,US,,,#5,US:,,decaten,,A,"580,827",98.44%,PL,,,#5,PL:,,gnahus,,A,"534,174",93.13%,US,,,#5,US:,,Pezz,,B,"337,602",89.17%,PL,,,#5,US:,,Pezz,,A,"479,211",96.39%,AU,,,#5,PL:,,gnahus,HD,A,"438,814",98.02%,US,,,#5,US:,,BoshyMan741,NM,A,"542,294",98.84%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#5,US:,,Pezz,NM,A,"257,464",93.94%,AU
,,#6,PL:,,gnahus,,A,"477,930",99.18%,US,,,#6,US:,,Pezz,,A,"412,039",96.21%,AU,,,#6,PL:,,gnahus,,A,"358,761",97.00%,US,,,,,,,,,,,,,,#6,US:,,[C],,A,"324,665",95.59%,PL,,,#6,US:,,decaten,,A,"562,956",99.12%,AU,,,,,,,,,,,,,,#6,US:,,decaten,,A,"396,567",96.41%,PL,,,,,,,,,,,,,,#6,US:,,decaten,,A,"433,468",96.96%,AU,,,#6,US:,,WindowLife,,A,"492,793",98.05%,PL,,,#6,PL:,,gnahus,,A,"532,679",99.04%,US,,,#6,US:,,WindowLife,,A,"528,111",96.33%,PL,,,#6,US:,,tekkito,,B,"317,375",92.59%,PL,,,#6,PL:,,MALISZEWSKI,,A,"443,085",96.50%,US,,,#6,AU:,,palr,HD,A,"409,362",97.89%,US,,,#6,AU:,,mrekk,NM,A,"529,276",98.87%,US,,,,,,,,,,,,,,,,,,,,,,,,,#6,US:,,tekkito,HD,A,"245,041",94.36%,AU
,,#7,US:,,rektygon,,A,"437,022",98.71%,AU,,,#7,AU:,,cloppit,,A,"322,802",94.93%,US,,,#7,US:,,decaten,,A,"347,229",96.06%,PL,,,,,,,,,,,,,,#7,US:,,EthantrixV3,,B,"291,495",92.01%,PL,,,#7,US:,,decaten,,A,"514,217",99.32%,PL,,,,,,,,,,,,,,#7,PL:,,MALISZEWSKI,,A,"390,152",96.03%,US,,,,,,,,,,,,,,#7,US:,,rektygon,,A,"422,994",95.75%,PL,,,#7,US:,,Pezz,,A,"484,848",97.31%,PL,,,#7,PL:,,MALISZEWSKI,,A,"529,555",96.99%,US,,,#7,US:,,rektygon,,A,"504,224",94.25%,AU,,,#7,PL:,,szedis,,B,"289,398",90.50%,US,,,#7,PL:,,milosz,,A,"442,213",97.46%,US,,,#7,US:,,decaten,HR,A,"404,470",98.24%,PL,,,#7,US:,,rektygon,HR,A,"468,919",98.88%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#7,AU:,,mrekk,NM,B,"209,742",91.67%,US
,,#8,AU:,,cloppit,,A,"436,518",98.79%,US,,,#8,AU:,,aknzx,,A,"316,530",96.01%,US,,,#8,US:,,rektygon,,A,"338,599",94.57%,AU,,,,,,,,,,,,,,#8,US:,,tekkito,,A,"270,343",94.70%,PL,,,#8,AU:,,palr,,A,"504,336",96.66%,US,,,,,,,,,,,,,,#8,US:,,decaten,,A,"385,480",95.09%,PL,,,,,,,,,,,,,,#8,AU:,,ASecretBox,,A,"413,765",94.91%,US,,,#8,PL:,,milosz,,A,"484,397",98.76%,US,,,#8,AU:,,ASecretBox,,A,"499,643",96.60%,US,,,#8,AU:,,aknzx,,A,"493,743",97.56%,US,,,#8,PL:,,evil grape,,B,"219,627",86.83%,US,,,#8,US:,,decaten,,A,"430,141",96.67%,AU,,,#8,US:,,BoshyMan741,NM,A,"401,583",98.39%,AU,,,#8,US:,,BoshyMan741,NM,A,"459,843",98.79%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#8,AU:,,ASecretBox,NM,B,"208,148",92.38%,US
,,#9,AU:,,aknzx,,A,"434,256",98.32%,US,,,,,,,,,,,,,,#9,AU:,,ASecretBox,,A,"326,265",95.81%,US,,,,,,,,,,,,,,,,,,,,,,,,,#9,US:,,tekkito,,A,"497,696",99.19%,AU,,,,,,,,,,,,,,#9,US:,,EthantrixV3,,A,"370,204",96.49%,AU,,,,,,,,,,,,,,#9,US:,,Pezz,,A,"413,143",96.15%,PL,,,#9,PL:,,Kosiarek,,A,"451,604",97.77%,US,,,#9,US:,,Pezz,,A,"474,571",98.08%,AU,,,#9,US:,,rektygon,,A,"493,258",95.25%,PL,,,,,,,,,,,,,,#9,AU:,,ASecretBox,,A,"420,021",96.69%,US,,,#9,US:,,BoshyMan741,NM,A,"392,006",98.89%,PL,,,#9,US:,,rektygon,HR,A,"436,292",98.76%,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#10,US:,,decaten,,A,"432,367",98.45%,PL,,,,,,,,,,,,,,#10,US:,,tekkito,,A,"313,845",96.31%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#10,AU:,,ASecretBox,,A,"474,268",98.15%,US,,,,,,,,,,,,,,#10,PL:,,MALISZEWSKI,,A,"369,713",96.30%,US,,,,,,,,,,,,,,#10,US:,,Pezz,,A,"403,943",95.42%,AU,,,#10,PL:,,gnahus,,A,"449,206",97.90%,US,,,#10,US:,,tekkito,,A,"471,472",97.57%,AU,,,#10,PL:,,evil grape,,A,"469,824",95.38%,US,,,,,,,,,,,,,,#10,US:,,WindowLife,,A,"408,125",95.81%,AU,,,#10,US:,,decaten,HR,A,"391,330",98.55%,AU,,,#10,PL:,,MALISZEWSKI,NM,A,"429,459",98.84%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#11,US:,,tekkito,,A,"417,210",98.32%,AU,,,,,,,,,,,,,,#11,US:,,tekkito,,A,"293,686",96.54%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#11,US:,,rektygon,,A,"447,566",97.71%,AU,,,,,,,,,,,,,,#11,US:,,EthantrixV3,,A,"349,951",95.32%,PL,,,,,,,,,,,,,,#11,US:,,BoshyMan741,,A,"361,405",95.06%,AU,,,#11,US:,,rektygon,,A,"444,004",98.03%,PL,,,#11,US:,,decaten,,A,"469,423",98.40%,AU,,,#11,PL:,,milosz,,A,"447,687",97.06%,US,,,,,,,,,,,,,,#11,US:,,decaten,,A,"394,593",95.45%,PL,,,#11,US:,,decaten,HR,A,"382,951",98.19%,PL,,,#11,US:,,decaten,HR,A,"422,540",97.72%,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#12,US:,,Pezz,,A,"408,347",98.50%,AU,,,,,,,,,,,,,,#12,US:,,Pezz,,A,"289,739",95.85%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#12,US:,,EthantrixV3,,A,"435,881",97.31%,AU,,,,,,,,,,,,,,#12,PL:,,gnahus,,A,"340,860",95.48%,US,,,,,,,,,,,,,,#12,PL:,,gnahus,,A,"335,865",94.94%,US,,,#12,US:,,Pezz,,A,"432,203",98.05%,AU,,,#12,US:,,WindowLife,,A,"462,813",96.95%,PL,,,#12,AU:,,SUPERI0R,,A,"441,904",96.90%,US,,,,,,,,,,,,,,#12,AU:,,aknzx,,A,"387,277",96.07%,US,,,#12,US:,,rektygon,HR,A,"380,213",97.87%,PL,,,#12,PL:,,Kosiarek,NM,A,"416,154",98.61%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#13,AU:,,ASecretBox,,A,"401,688",98.78%,US,,,,,,,,,,,,,,#13,PL:,,milosz,,A,"286,702",94.26%,US,,,,,,,,,,,,,,,,,,,,,,,,,#13,PL:,,evil grape,,A,"407,749",98.23%,US,,,,,,,,,,,,,,#13,US:,,EthantrixV3,,A,"332,997",94.25%,PL,,,,,,,,,,,,,,#13,PL:,,milosz,,A,"333,165",96.38%,US,,,#13,US:,,rektygon,,A,"431,851",97.99%,AU,,,#13,AU:,,cloppit,,A,"455,351",98.16%,US,,,#13,PL:,,gnahus,,A,"412,732",94.48%,US,,,,,,,,,,,,,,#13,PL:,,gnahus,,A,"362,069",95.41%,US,,,#13,US:,,rektygon,HR,A,"374,014",98.04%,AU,,,#13,AU:,,ASecretBox,NM,A,"391,281",98.45%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#14,US:,,rektygon,,A,"380,352",98.59%,PL,,,,,,,,,,,,,,#14,AU:,,aknzx,,A,"255,092",93.05%,US,,,,,,,,,,,,,,,,,,,,,,,,,#14,US:,,Pezz,,A,"405,655",97.03%,PL,,,,,,,,,,,,,,#14,AU:,,cloppit,,A,"325,951",96.07%,US,,,,,,,,,,,,,,#14,AU:,,aknzx,,A,"328,743",94.53%,US,,,#14,US:,,Pezz,,A,"429,972",98.03%,PL,,,#14,US:,,tekkito,,A,"452,715",97.87%,PL,,,#14,PL:,,evil grape,,A,"412,689",95.68%,US,,,,,,,,,,,,,,#14,PL:,,szedis,,A,"323,366",94.67%,US,,,#14,US:,,rektygon,HR,A,"371,674",97.60%,PL,,,#14,US:,,decaten,HR,A,"384,665",97.97%,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#15,US:,,tekkito,,A,"377,689",97.94%,PL,,,,,,,,,,,,,,#15,AU:,,cloppit,,A,"243,169",94.65%,US,,,,,,,,,,,,,,,,,,,,,,,,,#15,AU:,,aknzx,,A,"404,999",97.58%,US,,,,,,,,,,,,,,#15,PL:,,milosz,,A,"318,440",95.54%,US,,,,,,,,,,,,,,#15,US:,,BoshyMan741,,A,"264,288",94.06%,PL,,,#15,PL:,,milosz,,A,"414,130",97.77%,US,,,#15,US:,,rektygon,,A,"433,905",97.51%,AU,,,#15,US:,,Pezz,,A,"405,683",94.90%,AU,,,,,,,,,,,,,,#15,US:,,Pezz,,A,"320,117",94.73%,PL,,,#15,PL:,,Kosiarek,HR,A,"351,485",97.19%,US,,,#15,US:,,EthantrixV3,HD,A,"363,327",97.73%,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#16,PL:,,evil grape,,A,"329,128",97.94%,US,,,,,,,,,,,,,,#16,PL:,,szedis,,A,"239,442",93.87%,US,,,,,,,,,,,,,,,,,,,,,,,,,#16,US:,,tekkito,,A,"370,215",97.97%,PL,,,,,,,,,,,,,,#16,PL:,,gnahus,,A,"313,305",95.70%,US,,,,,,,,,,,,,,#16,AU:,,big snag,,B,"179,153",90.24%,US,,,#16,US:,,decaten,,A,"402,425",97.83%,AU,,,#16,PL:,,Rafis,,A,"307,260",95.16%,US,,,#16,PL:,,Rafis,,A,"395,393",96.75%,US,,,,,,,,,,,,,,#16,AU:,,cloppit,,A,"304,053",94.97%,US,,,#16,US:,,tekkito,HD,A,"346,789",98.08%,PL,,,#16,PL:,,milosz,HR,A,"357,579",97.09%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#17,PL:,,milosz,,A,"308,519",95.71%,US,,,,,,,,,,,,,,,,,,,,,,,,,#17,AU:,,ASecretBox,,A,"401,331",97.59%,US,,,,,,,,,,,,,,#17,AU:,,mrekk,,B,"348,261",90.83%,US,,,,,,,,,,,,,,,,,,,,,,,,,#17,PL:,,gnahus,HD,A,"346,756",97.48%,US,,,#17,PL:,,milosz,HR,A,"336,769",97.05%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#18,US:,,[C],,A,"291,379",95.58%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#18,US:,,decaten,,A,"394,165",98.41%,PL,,,,,,,,,,,,,,#18,AU:,,cloppit,,B,"343,255",91.76%,US,,,,,,,,,,,,,,,,,,,,,,,,,#18,PL:,,evil grape,NM,A,"340,676",97.27%,US,,,#18,US:,,EthantrixV3,HD,A,"335,696",96.99%,AU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#19,US:,,[C],,A,"290,987",95.08%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#19,PL:,,Kosiarek,,A,"392,959",97.63%,US,,,,,,,,,,,,,,#19,US:,,Pezz,,B,"342,531",91.59%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#19,AU:,,ASecretBox,NM,A,"324,758",97.33%,US,,,#19,US:,,decaten,HR,A,"335,562",97.21%,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#20,US:,,[C],,A,"283,515",94.21%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#20,US:,,decaten,,A,"384,458",98.15%,PL,,,,,,,,,,,,,,#20,PL:,,Rafis,,A,"315,326",93.70%,US,,,,,,,,,,,,,,,,,,,,,,,,,#20,US:,,tekkito,HD,A,"323,743",96.77%,AU,,,#20,US:,,EthantrixV3,HD,A,"329,328",97.53%,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#21,AU:,,aknzx,,A,"270,361",93.57%,US,,,,,,,,,,,,,,,,,,,,,,,,,#21,US:,,WindowLife,,A,"383,063",97.33%,AU,,,,,,,,,,,,,,#21,US:,,Pezz,,A,"301,772",92.60%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#21,PL:,,evil grape,NM,A,"318,399",98.02%,US,,,#21,PL:,,evil grape,HD,A,"276,296",96.16%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#22,AU:,,ASecretBox,,A,"268,071",93.95%,US,,,,,,,,,,,,,,,,,,,,,,,,,#22,PL:,,gnahus,,A,"359,780",97.55%,US,,,,,,,,,,,,,,#22,US:,,tekkito,,B,"297,302",90.08%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#22,US:,,tekkito,HD,A,"304,944",97.10%,PL,,,#22,PL:,,evil grape,HD,A,"257,155",95.06%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#23,PL:,,evil grape,,B,"249,226",91.90%,US,,,,,,,,,,,,,,,,,,,,,,,,,#23,AU:,,cloppit,,A,"333,743",96.69%,US,,,,,,,,,,,,,,#23,US:,,tekkito,,B,"283,826",91.48%,PL,,,,,,,,,,,,,,,,,,,,,,,,,#23,PL:,,Kosiarek,HR,A,"289,830",95.83%,US,,,#23,AU:,,aknzx,HR,A,"235,652",93.82%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#24,PL:,,evil grape,,B,"210,690",91.19%,US,,,,,,,,,,,,,,,,,,,,,,,,,#24,AU:,,aknzx,,A,"297,221",95.74%,US,,,,,,,,,,,,,,#24,US:,,tekkito,,B,"275,515",90.97%,AU,,,,,,,,,,,,,,,,,,,,,,,,,#24,AU:,,aknzx,HR,A,"287,620",96.18%,US,,,#24,AU:,,palr,HD,A,"195,498",92.66%,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
