,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#5,ES:,,ESCRUPULILLO,,S,"1,013,472",99.79%,2,,,#5,FR:,,Hifkil,,S,"994,673",99.86%,2,,,#5,RU:,,Welter,,S,"971,101",99.17%,1,,,#5,DE:,,yary,,S,"920,267",97.92%,1,,,#5,DE:,,criller,, S ,"1,039,822",99.37%,1,,,#5,KR:,,Amamya Kokoro,, S ,"1,008,054",98.45%,2,,,#5,AT:,,z10a,,A,"1,009,849",97.98%,1,,,#5,PL:,,milosz,,A,"986,036",99.84%,2,,,#5,PL:,,milosz,,S,"1,183,277",99.57%,1,,,#5,FI:,,Amasetic,,S,"1,169,177",99.27%,1,,,#5,CA:,,xootynator,,A,"1,051,742",97.95%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#6,PL:,,Kosiarek,,S,"1,012,235",99.86%,1,,,#6,DE:,,Denzel Curry,,S,"993,823",99.82%,2,,,#6,CN:,,Crystal,,S,"967,635",99.08%,1,,,#6,IT:,,BELLOFIGO,,S,"919,459",97.92%,2,,,#6,KR:,,LATAJACYTUNCZYK,, S ,"1,029,781",99.12%,2,,,#6,AU:,,mrekk,, S ,"999,908",98.20%,1,,,#6,CZ:,,fisskill,,S,"977,082",97.95%,2,,,#6,US:,,rektygon,,S,"843,098",99.85%,1,,,#6,NO:,,NINERIK,,S,"1,181,390",99.59%,2,,,#6,PL:,,Rafis,,S,"1,165,588",99.26%,1,,,#6,ES:,,A L E P H,,A,"1,019,869",98.89%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#7,PL:,,Kosiarek,,S,"1,011,557",99.86%,2,,,#7,BR:,,-izzy,,S,"992,895",99.82%,2,,,#7,KR:,,LATAJACYTUNCZYK,,S,"967,216",99.08%,1,,,#7,AU:,,mrekk,,S,"918,534",97.92%,1,,,#7,CA:,,xootynator,, S ,"1,027,646",99.06%,1,,,#7,TH:,,miinr,, S ,"979,894",97.63%,1,,,#7,BR:,,Kurumiw,,S,"926,958",98.32%,1,,,#7,TR:,,Raikouhou,,A,"806,592",99.81%,1,,,#7,PL:,,Rafis,,A,"1,180,686",99.62%,1,,,#7,CA:,,Zylice,,S,"1,164,392",99.18%,1,,,#7,KR:,,[Karcher],,A,"962,517",99.15%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#8,NZ:,,pii,,S,"1,010,268",99.93%,1,,,#8,US:,,rektygon,,S,"992,805",99.82%,1,,,#8,US:,,decaten,,S,"965,681",99.00%,1,,,#8,CL:,,Intercambing,,S,"909,391",97.60%,1,,,#8,AU:,,ASecretBox,, S ,"1,021,343",98.84%,2,,,#8,KR:,,LATAJACYTUNCZYK,, S ,"971,392",97.45%,1,,,#8,SE:,,melwem,,A,"898,392",98.25%,2,,,#8,VN:,,def,,A,"795,893",99.77%,2,,,#8,CL:,,Intercambing,,S,"1,179,802",99.52%,2,,,#8,AU:,,mrekk,,S,"1,163,375",99.19%,2,,,#8,DE:,,criller,,A,"906,434",99.09%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#9,TH:,,Lesperry,,S,"1,008,687",99.72%,2,,,#9,GB:,,Accolibed,,S,"992,261",99.77%,1,,,#9,DE:,,criller,,S,"965,675",98.92%,1,,,#9,GR:,,JackPaX,,S,"908,695",97.50%,1,,,#9,RO:,,badeu,,A,"899,933",97.59%,1,,,#9,RU:,,BJIADOC,,A,"969,354",97.55%,2,,,#9,SE:,,scylla,,A,"885,958",98.85%,1,,,#9,RU:,,Welter,,A,"791,818",99.40%,2,,,#9,RU:,,maxim,,S,"1,177,621",99.52%,1,,,#9,PE:,,[MG]Arnold24x24,,S,"1,162,837",99.18%,2,,,#9,UA:,,POMAH,,A,"903,129",97.41%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#10,GB:,,Plasma,,S,"1,008,065",99.72%,2,,,#10,CN:,,lolol233,,S,"992,191",99.77%,2,,,#10,KR:,,Allegrissimo,,S,"962,544",98.92%,2,,,#10,US:,,decaten,,S,"903,164",97.40%,1,,,#10,US:,,EthantrixV3,, S ,"885,769",98.80%,1,,,#10,AT:,,Teppi Fangirl,,A,"966,070",98.53%,1,,,#10,CA:,,xootynator,,A,"884,736",98.01%,1,,,#10,PL:,,Kosiarek,,A,"772,683",99.71%,2,,,#10,PL:,,gnahus,,S,"1,175,250",99.45%,1,,,#10,RU:,,Welter,,S,"1,159,947",99.10%,2,,,#10,TW:,,GAO HAO,,A,"896,861",98.11%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#11,ID:,,Thatnoobguy,,S,"1,004,810",99.79%,1,,,#11,CN:,,lolol233,,S,"991,806",99.77%,1,,,#11,RU:,,Welter,,S,"961,829",98.92%,2,,,#11,CL:,,alfiu,,S,"899,111",97.29%,2,,,#11,CA:,,Wanderio,, S ,"875,773",98.67%,1,,,#11,US:,,EthantrixV3,, S ,"961,844",97.22%,2,,,#11,PL:,,milosz,,A,"877,560",97.86%,1,,,#11,GB:,,Bubbleman,,S,"770,785",99.27%,1,,,#11,GB:,,Accolibed,,S,"1,174,241",99.45%,2,,,#11,US:,,Pezz,,S,"1,159,723",99.06%,1,,,#11,UA:,,POMAH,,A,"885,553",97.79%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#12,PH:,,LordGabriel,,S,"1,004,630",99.59%,1,,,#12,KR:,,[Karcher],,S,"991,163",99.77%,2,,,#12,KR:,,Nopekjk,,S,"961,256",98.83%,2,,,#12,DE:,,Denzel Curry,,S,"895,188",97.29%,2,,,#12,CA:,,xootynator,,A,"860,644",99.20%,2,,,#12,RO:,,badeu,, S ,"919,882",96.00%,1,,,#12,DE:,,criller,,A,"876,600",99.43%,2,,,#12,GB:,,Accolibed,,A,"765,807",99.55%,2,,,#12,AU:,,mrekk,,S,"1,173,869",99.45%,2,,,#12,VN:,,def,,S,"1,157,925",99.01%,2,,,#12,GB:,,skia1,,A,"879,726",98.73%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#13,PH:,,Rammu,,S,"1,002,506",99.72%,2,,,#13,NZ:,,Saiyku,,S,"990,870",99.77%,2,,,#13,PL:,,gnahus,,S,"958,874",98.83%,2,,,#13,KR:,,Nopekjk,,S,"893,006",97.19%,2,,,#13,BR:,,Kurumiw,,A,"854,086",98.76%,2,,,#13,TH:,,miinr,,A,"911,381",98.12%,2,,,#13,FR:,,Hifkil,,A,"869,502",97.60%,2,,,#13,TR:,,Raikouhou,,A,"759,751",99.71%,2,,,#13,PE:,,[MG]Arnold24x24,,S,"1,173,729",99.38%,2,,,#13,FI:,,vaadin peukkua,,S,"1,155,271",98.97%,2,,,#13,GB:,,skia1,,A,"876,725",98.45%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#14,AU:,,Xaver,,S,"1,002,448",99.64%,2,,,#14,US:,,rektygon,,S,"990,793",99.73%,2,,,#14,PL:,,MALISZEWSKI,,S,"958,017",99.06%,1,,,#14,CA:,,nujabes,,S,"891,351",97.08%,2,,,#14,NO:,,NINERIK,,A,"831,347",98.89%,1,,,#14,US:,,EthantrixV3,,A,"876,258",96.43%,1,,,#14,AU:,,mrekk,,S,"866,078",99.37%,1,,,#14,AU:,,mrekk,,A,"757,601",99.43%,2,,,#14,AU:,,cloppit,,S,"1,172,561",99.36%,1,,,#14,DE:,,okinamo,,S,"1,152,180",98.94%,2,,,#14,SK:,,Drxvmik,,A,"840,696",95.60%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#15,DE:,,yary,,A,"1,002,384",99.76%,2,,,#15,TH:,,Arz3,,S,"990,691",99.73%,2,,,#15,GB:,,fudge,,S,"957,874",98.75%,1,,,#15,VN:,,def,,S,"890,611",97.06%,2,,,#15,ID:,,MineFrostID,, S ,"829,146",98.51%,1,,,#15,CL:,,Intercambing,,A,"863,084",97.00%,1,,,#15,SE:,,scylla,,A,"853,477",98.69%,2,,,#15,JP:,,YMD,,A,"732,076",99.06%,2,,,#15,US:,,tekkito,,S,"1,171,450",99.31%,1,,,#15,PL:,,MALISZEWSKI,,S,"1,150,563",98.84%,1,,,#15,AU:,,mrekk,,A,"838,249",99.56%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#16,CA:,,Wanderio,,S,"1,001,466",99.72%,2,,,#16,AU:,,ASecretBox,,S,"990,542",99.73%,2,,,#16,LV:,,hihihaha142,,S,"955,933",98.75%,1,,,#16,AU:,,ASecretBox,,S,"890,102",97.08%,2,,,#16,TR:,,Raikouhou,,A,"826,153",98.12%,2,,,#16,CA:,,xootynator,,A,"854,498",97.47%,2,,,#16,IL:,,PaintedKoala,,A,"845,546",96.88%,1,,,#16,CA:,,nujabes,,A,"727,803",99.21%,1,,,#16,TR:,,Raikouhou,,S,"1,166,902",99.28%,1,,,#16,NL:,,John ethken,,S,"1,147,289",98.84%,2,,,#16,RO:,,Kehest,,A,"816,915",96.88%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#17,RO:,,Kehest,,S,"999,175",99.59%,1,,,#17,US:,,decaten,,S,"989,928",99.73%,2,,,#17,NO:,,NINERIK,,S,"955,064",98.75%,2,,,#17,US:,,rektygon,,S,"882,891",96.88%,1,,,#17,AU:,,aknzx,, S ,"821,882",98.92%,1,,,#17,HU:,,csaba21123,,A,"810,791",97.61%,2,,,#17,NL:,,John ethken,,A,"842,355",98.06%,1,,,#17,BR:,,Nyash,,A,"723,937",99.32%,1,,,#17,US:,,rektygon,,A,"1,165,012",99.28%,1,,,#17,PL:,,Rafis,,S,"1,145,729",98.76%,2,,,#17,CA:,,steamhappy,,A,"802,860",98.58%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#18,CN:,,Crystal,,S,"998,894",99.52%,2,,,#18,PL:,,evil grape,,S,"988,605",99.68%,1,,,#18,PH:,,NathanRam1918,,A,"954,745",98.71%,1,,,#18,CA:,,Wanderio,,S,"881,890",96.88%,2,,,#18,GB:,,fudge,, S ,"809,261",99.48%,1,,,#18,US:,,BoshyMan741,, S ,"809,309",99.00%,2,,,#18,NZ:,,5aiyku,,S,"841,888",98.63%,1,,,#18,FR:,,Hifkil,,A,"723,658",99.68%,1,,,#18,FI:,,Amasetic,,S,"1,162,878",99.17%,2,,,#18,RU:,,Welter,,S,"1,145,234",98.79%,1,,,#18,TR:,,Raikouhou,,A,"779,717",99.72%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#19,PR:,,Unexpected,,S,"997,125",99.52%,2,,,#19,AR:,,Seiong,,S,"988,590",99.68%,2,,,#19,IT:,,kusuriya,,S,"949,250",98.59%,1,,,#19,SE:,,scylla,,S,"881,380",96.77%,2,,,#19,US:,,tekkito,,A,"794,603",98.80%,2,,,#19,PE:,,[MG]Arnold24x24,,A,"801,948",98.43%,1,,,#19,SG:,,Dawnwing,,A,"835,478",96.43%,1,,,#19,RU:,,Welter,,A,"714,063",99.26%,1,,,#19,DK:,,Sobu-,,S,"1,160,636",99.10%,2,,,#19,AU:,,aknzx,,S,"1,143,436",98.69%,2,,,#19,SG:,,Dawnwing,,A,"778,037",96.41%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#20,CA:,,xootynator,,S,"995,116",99.59%,1,,,#20,PT:,,RafaMat,,S,"987,492",99.63%,1,,,#20,CA:,,Zylice,,S,"949,073",98.59%,1,,,#20,IT:,,Toukai Teiou,,S,"879,369",96.77%,2,,,#20,KR:,,Amamya Kokoro,,A,"791,501",99.52%,2,,,#20,AR:,,jackzebra,,A,"797,962",97.14%,2,,,#20,AU:,,mrekk,,A,"829,076",99.23%,2,,,#20,PL:,,milosz,,A,"710,699",99.68%,1,,,#20,UY:,,helvetia,,S,"1,159,965",99.10%,1,,,#20,RU:,,gamer228666,,S,"1,141,946",98.72%,2,,,#20,PL:,,MALISZEWSKI,,A,"770,664",99.56%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#21,JP:,,YMD,,S,"994,595",99.29%,1,,,#21,RO:,,capybaras,,S,"987,206",99.63%,1,,,#21,AU:,,mrekk,,A,"948,773",99.19%,2,,,#21,FR:,,Satsukiiii,,S,"874,320",96.67%,2,,,#21,CL:,,Intercambing,,A,"781,710",99.09%,2,,,#21,GB:,,lystia,,A,"772,607",97.63%,2,,,#21,NO:,,NINERIK,,A,"825,975",99.25%,1,,,#21,TW:,,Ruyaya,,A,"705,322",99.22%,2,,,#21,KZ:,,Kamensh1k,,S,"1,159,577",99.10%,2,,,#21,RU:,,maxim,,A,"1,132,156",98.43%,1,,,#21,AT:,,z10a,,A,"763,860",97.64%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#22,GB:,,Bubbleman,,S,"993,541",99.45%,2,,,#22,RU:,,gamer228666,,S,"987,042",99.63%,2,,,#22,RO:,,origin_,,S,"948,317",98.50%,1,,,#22,UA:,,dench,,S,"873,390",96.56%,2,,,#22,GB:,,skia1,, S ,"767,636",99.30%,2,,,#22,AT:,,Teppi Fangirl,,A,"766,050",98.73%,2,,,#22,NZ:,,Saiyku,,A,"825,416",98.63%,2,,,#22,DE:,,criller,,A,"703,720",99.81%,1,,,#22,AU:,,aknzx,,S,"1,159,132",99.00%,2,,,#22,GB:,,MALTESER,,S,"1,132,131",98.47%,2,,,#22,HU:,,defii,,A,"760,111",96.63%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#23,CA:,,xootynator,,S,"988,256",99.31%,2,,,#23,RO:,,etn,,S,"984,614",99.59%,1,,,#23,DE:,,criller,,S,"947,775",98.42%,2,,,#23,BR:,,Nyash,,S,"872,175",96.46%,1,,,#23,TH:,,miinr,,A,"762,143",97.44%,2,,,#23,PH:,,ZaNy_,,A,"764,741",98.22%,2,,,#23,NZ:,,Kyujin,,A,"811,956",98.63%,1,,,#23,CN:,,lolol233,,A,"701,372",99.64%,2,,,#23,US:,,Pezz,,S,"1,158,645",99.03%,1,,,#23,TW:,,willy0214,,S,"1,131,300",98.39%,2,,,#23,RO:,,origin_,,A,"758,486",99.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#24,DK:,,Sobu-,,S,"983,870",99.17%,2,,,#24,RO:,,origin_,,S,"983,684",99.54%,2,,,#24,AU:,,mrekk,,S,"947,331",98.48%,1,,,#24,RU:,,desuqe,,S,"867,689",96.25%,2,,,#24,CL:,,alfiu,,A,"747,686",99.31%,2,,,#24,ID:,,MineFrostID,,A,"757,503",97.20%,1,,,#24,CA:,,Wanderio,,A,"810,714",97.55%,1,,,#24,CA:,,nujabes,,A,"697,284",99.63%,2,,,#24,KZ:,,Kamensh1k,,S,"1,157,758",99.03%,1,,,#24,RU:,,gamer228666,,S,"1,127,457",98.36%,1,,,#24,RU:,,gamer228666,,A,"758,281",98.60%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#25,FR:,,FlasTEH,,S,"980,862",98.90%,2,,,#25,DE:,,Fleh,,S,"983,579",99.54%,1,,,#25,TH:,,Lesperry,,S,"940,953",98.25%,2,,,#25,CN:,,Moonlit111,,S,"865,268",96.35%,2,,,#25,CA:,,Wanderio,, S ,"746,528",98.73%,2,,,#25,CA:,,steamhappy,,A,"747,978",97.77%,1,,,#25,CZ:,,fisskill,,A,"803,635",96.61%,1,,,#25,US:,,BoshyMan741,,A,"694,035",99.09%,1,,,#25,TW:,,willy0214,,S,"1,156,531",98.90%,1,,,#25,GR:,,-Puyu,,A,"1,126,554",98.98%,1,,,#25,PH:,,NathanRam1918,,A,"752,371",98.73%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
